Aegyptianella pullorum
Aegyptionella pullorum
Aellopos clavipes
Aellopos fadus
Aelurostrongylus abstrusus
Aenasius advena
Aenasius flandersi
Aenasius indicus
Aenetus virescens
Aeolothrips intermedius
Aeolothrips versicolor
Aeonium arboreum
Aeonium haworthii
Aeonium lancerottense
Aerococcus vaginalis
Aerococcus viridans
Aeromonas caviae
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas salmonicida
Aeromonas veronii
Aeruginoscyphus sericeus
Aesculus × carnea
Aesculus californica
Aesculus glabra
Aesculus hippocastanum
Aetanthus colombianus
Aetheolaena patens
Aethes francillana
Aethina tumida
Aethusa cynapium
Agalenatea redii
Agalinis auriculata
Agalinis filifolia
Agalinis genistifolia
Agalinis purpurea
Agalinis tenuifolia
Agallia brachyptera
Agapanthia villosoviridescens
Agapanthus africanus
Agapanthus praecox
Agapostemon nasutus
Agapostemon splendens
Agapostemon virescens
Agaricus abruptibulbus
Agarista salicifolia
Agastache foeniculum
Agastache nepetoides
Agathidium laevigatum
Agave americana
Agelaioides badius
Agelastica alni
Agelastica coerulea
Agelena labyrinthica
Ageniaspis fuscicollis
Ageniaspis testaceipes
Ageratina adenophora
Ageratina altissima
Ageratina ampla
Ageratina angustifolia
Ageratina aromatica
Ageratina asclepiadea
Ageratina baccharoides
Ageratina havanensis
Ageratina pichinchensis
Ageratina popayanensis
Ageratina pseudochilca
Ageratina theifolia
Ageratina tinifolia
Ageratum conyzoides
Ageratum houstonianum
Ageratum Yellow vein China virus - OX1
Aglais io
Aglais urticae
Aglaopus glareola
Aglaospora
Aglaospora profusa
Aglaostigma nebulosum
Aglenchus agricola
Aglia tau
Aglossa dimidiatus
Agonopterix angelicella
Agonopterix robiniella
Agonum muelleri
Agraulis vanillae
Agrilus anxius
Agrilus convexicollis
Agrilus cyanescens
Agrilus derasofasciatus
Agrilus difficilis
Agrilus egenus
Agrilus olivicolor
Agrilus planipennis
Agrilus politus
Agrilus pseudofallax
Agrilus ruficollis
Agrilus sinuatus
Agrilus viridis
Agrilus vittaticollis
Agrimonia eupatoria
Agrimonia pilosa
Agriopis aurantiaria
Agriopis leucophaearia
Agriopis marginaria
Agriostomum vrijburgi
Agriotes mancus
Agriotes obscurus
Agriotes sputator
Agrobacterium pseudotsugae
Agrobacterium radiobacter
Agrobacterium tumefaciens
Agrobacterium vitis
Agrochola circellaris
Agrocybe cylindracea
Agromyza alnivora
Agromyza idaeiana
Agromyza soka
Agromyza vockerothi
Agrostemma githago
Agrostis clavata
Agrostis tolucensis
Agrotis exclamationis
Agrotis ipsilon
Agrotis segetum
Agrypnus murinus
Aguna asander
Agyriella nitida
Ahasverus advena
Ahtiana pallidula
Ahtiana sphaerosporella
Aichivirus A
Aichivirus B
Aichivirus D
Ailanthus altissima
Aino orthobunyavirus
Aiouea dubia
Aithaloderma clavatisporum
Ajania pacifica
Ajuga reptans
Akabane orthobunyavirus
Akabane virus
Akanthomyces sabanensis
Akhmeta virus
Alagoas vesiculovirus
Alamella flava
Alaptus minimus
Albatrellus ovinus
Albizia julibrissin
Albuna fraxini
Alcaligenes faecalis
Alcaligenes xylosoxidans
Alcea biennis
Alcea rosea
Alcelaphine gammaherpesvirus 1
Alcelaphine gammaherpesvirus 2
Alcelaphine herpesvirus 1
Alcelaphine herpesvirus 2
Alces alces
Alchisme bos
Alchisme grossa
Alcippe brunnea
Alcippe morrisonia
Alcis repandata
Alectoria imshaugii
Alectoria sarmentosa
Alectoria vancouverensis
Alectoris rufa
Alectryon ramiflorus
Aleochara bipustulata
Aleochara curtula
Aletes acaulis
Aleuria aurantia
Aleurochiton aceris
Aleurodicus dugesii
Aleurodiscus amorphus
Aleurodiscus botryosus
Aleurodiscus canadensis
Aleurodiscus cerussatus
Aleurodiscus croceus
Aleurodiscus farlowii
Aleurodiscus grantii
Aleurodiscus lividocaeruleus
Aleurodiscus oakesii
Aleurodiscus penicillatus
Aleurodiscus spiniger
Aleurodiscus thujae
Aleurodiscus tsugae
Aleurodiscus wakefieldiae
Aleurodiscus weirii
Alevonota gracilenta
Alfalfa mosaic virus
Alioides tuberculatus
Alisma plantago-aquatica
Alisterus scapularis
Alitta virens
Alkanna tinctoria
Allantophomopsiella pseudotsugae
Allecula rhenana
Alliaria petiolata
Allionia incarnata
Allisonella histaminiformans
Allium aflatunense
Allium ampeloprasum
Allium cepa
Allium cernuum
Allium drummondii
Allium fistulosum
Allium giganteum
Allium karataviense
Allium neapolitanum
Allium roseum
Allium sativum
Allium schoenoprasum
Allium sphaerocephalon
Allium thunbergii
Allium triquetrum
Allium tuberosum
Allium unifolium
Allium ursinum
Allium vineale
Allium sphaerocephalon
Allocasuarina littoralis
Allodape mirabilis
Allograpta aenea
Allograpta annulipes
Allograpta argentipila
Allograpta exotica
Allograpta macquarti
Allograpta neotropica
Allograpta obliqua
Alloispermum caracasanum
Allolobophora chlorotica
Allophyes oxyacanthae
Allophyes oxycanthae
Allophylus myrianthus
Allorhynchium chinense
Almpiwar sripuvirus
Alnecium auctum
Alnus acuminata
Alnus glutinosa
Alnus incana
Alnus rubra
Aloconota gregaria
Aloe arborescens
Aloe maculata
Aloe vera
Alonsoa meridionalis
Alopecurus pratensis
Alophoixus pallidus
Alophus triguttatus
Alosterna tabacicolor
Alouatta guariba
Aloysia gratissima
Aloysia virgata
Aloysia wrightii
Alphacoronavirus L232
Alphacoronavirus sp.
Alpheus glaber
Alphitobius diaperinus
Alsophila aescularia
Alsophila pometaria
Alstonia macrophylla
Alstroemeria aurea
Alstroemeria caryophyllaea
Alternanthera ficoidea
Alternaria alternata
Alternaria calycipyricola
Alternaria caudata
Alternaria cerasidanica
Alternaria conjuncta
Alternaria dauci
Alternaria geophila
Alternaria hederae
Alternaria humuli
Alternaria panax
Alternaria pellucida
Alternaria porri
Alternaria tenuissima
Alternaria vitis
Altha lacteola
Altha nivea
Althaea officinalis
Alydus calcaratus
Alypia octomaculata
Amalaraeus arvicolae
Amalaraeus penicilliger
Amandinea punctata
Amanita aprica
Amanita muscaria
Amanita rubescens
Amanita sinicoflava
Amara aenea
Amara aulica
Amara bifrons
Amara communis
Amara congrua
Amara consularis
Amara convexior
Amara equestris
Amara eurynota
Amara familiaris
Amara lunicollis
Amara montivaga
Amara ovata
Amara plebeja
Amara quenseli
Amara similata
Amara sinuosa
Amaranthus hybridus
Amaryllis belladonna
Amasya cherry disease-associated virus satellite RNAs
Amata phegea
Amaurodon viridis
Amauronematus histrio
Amauropelta rudis
Amazilia tzacatl
Amazona finschi
Amblyomma americanum
Amblyomma annulatus australis
Amblyomma australis
Amblyomma cajennense
Amblyomma gemma
Amblyomma hebraeum
Amblyomma imitator
Amblyomma maculatum
Amblyomma oblongoguttatum
Amblyomma parvum
Amblyomma testudinarium
Amblyomma triguttatum
Amblyomma tuberculatum
Amblyomma unipunctata
Amblyomma variegatum
Amblypelta lutescens
Amblypelta nitida
Amblyscirtes fluonia
Amblyscirtes nysa
Amblyscirtes oslari
Amblyseius andersoni
Amblyteles armatorius
Amblytylus nasutus
Ambrosia artemisiifolia
Ambrosia monogyra
Ambrosia salsola
Ambrosia trifida
Amegilla acraensis
Amegilla calens
Amegilla vivida
Amelanchier utahensis
Ameles spallanzania
American plum line pattern virus
Ameroseius furcatus
Amischa analis
Amischa decipiens
Ammi majus
Ammodytes tobianus
Amniculicola lignicola
Amoebotaenia cuneata
Amoebotaenia sphenoides
Amomyrtus luma
Amomyrtus meli
Amorpha californica
Amorpha canescens
Amorpha fruticosa
Amorpha herbacea
Ampedus cardinalis
Ampedus cinnabarinus
Ampedus nigerrimus
Ampedus nigrinus
Ampedus nigroflavus
Ampedus quercicola
Ampedus rufipennis
Ampedus triangulum
Ampelaster carolinianus
Ampelion rubrocristatus
Ampelomyces quisqualis
Ampelopsis arborea
Ampelopsis glandulosa
Ampelopsis heterophylla
Amphicerus hamatus
Amphilophium paniculatum
Amphimallon solstitiale
Amphimerus elongatus
Amphinema byssoides
Amphiporthe
Amphiporthe leiphaemia
Amphipsalta zelandica
Amphipsylla rossica
Amphipyra pyramidea
Amphipyra pyramidoides
Amphisphaeria bufonia
Amphisphaeria fallax
Amphisphaeria millepunctata
Amphisphaeria symphoricarpi
Amphisphaeria vibratilis
Amphistomum crumenifer
Amphitetranychus viennensis
Amphora aequalis
Amphora inariensis
Amphora ovalis
Amphora pediculus
Amphorophora (Amphorophora) idaei
Amphorophora idaei
Amsacta lactinea
Amsacta lineola
Amsinckia grandiflora ex
Amsinckia menziesii
Amyelois transitella
Amylocystis lapponica
Amylocystis lapponicus
Amylostereum chailletii
Amylostereum laevigatum
Amyloxenasma rallum
Anacamptis morio
Anacardium occidentale
Anaceratagallia ribauti
Anacyclus clavatus
Anacyclus radiatus
Anadevidia peponis
Anaeroplasma abactoclasticum
Anaeroplasma bactoclasticum
Anaerostipes butyraticus
Anagallis arvensis
Anaglyptus mysticus
Anaglyptus subfasciatus
Anagrus atomus
Anagrus avalae
Anagrus daanei
Anagrus epos
Anagrus erythroneurae
Anagrus lindberginae
Anagrus nigriventris
Anagrus subfuscus
Anagrus tretiakovae
Anagrus turpanicus
Anagrus ustulatus
Anagyrus agraensis
Anagyrus aligarhensis
Anagyrus amnestos
Anagyrus belibus
Anagyrus dactylopii
Anagyrus haloxyli
Anagyrus kamali
Anagyrus lopezi
Anagyrus matritensis
Anagyrus mirzai
Anagyrus pseudococci
Anagyrus qadrii
Anagyrus sawadai
Anagyrus schoenherri
Anagyrus szodensis
Ananas comosus
Anaphalis margaritacea
Anaphes aries
Anaphes conotracheli
Anaphes diana
Anaphes dorcas
Anaphes longicornis
Anaphysmene heraclei
Anaplasma bovis
Anaplasma caudatum
Anaplasma centrale
Anaplasma marginale
Anaplasma ovis
Anaplasma phagocytophilum
Anaptus major
Anaptychia ciliaris
Anarta myrtilli
Anartia amathea
Anartia fatima
Anartia jatrophae
Anas aucklandica
Anas platyrhynchos
Anasimyia lunulata
Anaspis flava
Anaspis maculata
Anaspis pulicaria
Anastatus bifasciatus
Anastatus japonicus
Anastatus lichtensteini
Anastrangalia laetifica
Anastrepha suspensa
Anaulacaspis nigra
Anavirga laxa
Anax junius
Anaxyrus americanus
Anchiale briareus
Anchiale maculata
Anchomenus dorsalis
Anchusa arvensis
Anchusa officinalis
Anchusa undulata
Ancistrocerus adiabatus
Ancistrocerus bustamente
Ancistrocerus campestris
Ancistrocerus catskill
Ancistrocerus gazella
Ancistrocerus haematodes
Ancylis apicella
Ancylis burgessiana
Ancylis mitterbacheriana
Ancylostoma caninum
Ancyloxypha numitor
Andaspis incisor
Andigena nigrirostris
Andraca bipunctata
Andrena angustior
Andrena apicata
Andrena barbilabris
Andrena bimaculata
Andrena bucephala
Andrena carantonica
Andrena carlini
Andrena ceanothi
Andrena cineraria
Andrena cinerea
Andrena clarkella
Andrena coitana
Andrena congruens
Andrena crataegi
Andrena denticulata
Andrena dorsata
Andrena ferox
Andrena flavipes
Andrena fucata
Andrena fulva
Andrena fulvago
Andrena haemorrhoa
Andrena helvola
Andrena imitatrix
Andrena labialis
Andrena labiata
Andrena lapponica
Andrena mandibularis
Andrena marginata
Andrena milwaukeensis
Andrena minutula
Andrena minutuloides
Andrena miserabilis
Andrena nasonii
Andrena nigroaenea
Andrena nitida
Andrena nivalis
Andrena pilipes
Andrena praecox
Andrena proxima
Andrena pruni
Andrena prunorum
Andrena rufosignata
Andrena rugosa
Andrena salictaria
Andrena semilaevis
Andrena sigmundi
Andrena subopaca
Andrena synadelpha
Andrena thaspii
Andrena thoracica
Andrena tibialis
Andrena trimmerana
Andrena vicina
Andrena w-scripta
Andrena wheeleri
Andrena wilkella
Andricus aries
Andricus caliciformis
Andricus callidoma
Andricus conglomeratus
Andricus coriarius
Andricus corruptrix
Andricus curvator
Andricus fecundatrix
Andricus foecundatrix
Andricus grossulariae
Andricus hungaricus
Andricus infectorius
Andricus inflator
Andricus kollari
Andricus legitimus
Andricus lignicola
Andricus lucidus
Andricus mitratus
Andricus ostreus
Andricus quadrilineatus
Andricus quercuscalicis
Andricus quercuscorticis
Andricus quercusradicis
Andricus quercusramuli
Andricus quercustozae
Andricus solitarius
Androlaelaps casalis
Andropadus importunus
Andrya cuniculi
Andryala integrifolia
Andryala pinnatifida
Anelasmocephalus cambridgei
Anemonastrum canadense
Anemone acutiloba
Anemone americana
Anemone coronaria
Anemone hortensis
Anemone hupehensis
Anemone nemorosa
Anemone pavonina
Anemonoides blanda
Anemonoides sylvestris
Anemopsis californica
Anethum graveolens
Angelica capitellata
Angelica gigas
Angelica hendersonii
Angelica hirsutiflora
Angelica lucida
Angelica polymorpha
Angelica pubescens
Angelica sylvestris
Angelica tomentosa
Angerona prunaria
Angiostrongylus cantonensis
Angomonas ambiguus
Angomonas deanei
Angophora hispida
Anguilla anguilla
Anguis fragilis
Anicetus annulatus
Anicetus ashmeadi
Anicetus italicus
Anidarnes bicolor
Anidarnes niger
Anigozanthos flavidus
Anisakis pegreffii
Anisakis simplex
Anisochora chardonii
Anisodactylus binotatus
Anisodes illepidaria
Anisognathus igniventris
Anisognathus somptuosus
Anisogramma virgultorum
Anisopteromalus calandrae
Anisota finlaysoni
Anisota peigleri
Anisota stigma
Anisota virginiensis
Anisoxya fuscula
Annona cherimola
Annulohypoxylon stygium
Annulohypoxylon truncatum
Anobium inexspectatum
Anoda cristata
Anoecia corni
Anogmus hohenheimensis
Anolis carolinensis
Anolis cristatellus
Anolis sagrei
Anomala corpulenta
Anomala cuprea
Anomala rufocuprea
