speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
5165954,"Halectinosoma herdmani (Scott T. & Scott A., 1896)",SPECIES,ACCEPTED,Animalia,"5165954: Halectinosoma herdmani (Scott T. & Scott A., 1896)"
5165965,"Halectinosoma distinctum (Sars G.O., 1920)",SPECIES,ACCEPTED,Animalia,"5165965: Halectinosoma distinctum (Sars G.O., 1920)"
5165980,"Halectinosoma curticorne (Boeck, 1873)",SPECIES,ACCEPTED,Animalia,"5165980: Halectinosoma curticorne (Boeck, 1873)"
5165985,"Halectinosoma gothiceps (Giesbrecht, 1881)",SPECIES,ACCEPTED,Animalia,"5165985: Halectinosoma gothiceps (Giesbrecht, 1881)"
5165990,"Halectinosoma sarsii (Boeck, 1872)",SPECIES,ACCEPTED,Animalia,"5165990: Halectinosoma sarsii (Boeck, 1872)"
5166007,"Bradya scotti Sars G.O., 1920",SPECIES,ACCEPTED,Animalia,"5166007: Bradya scotti Sars G.O., 1920"
5166008,"Bradya typica Boeck, 1873",SPECIES,ACCEPTED,Animalia,"5166008: Bradya typica Boeck, 1873"
5166186,Canthocamptus staphylinus,SPECIES,ACCEPTED,Animalia,"5717759: Canthocamptus staphylinus (Jurine, 1820)"
5166206,"Dactylopodella flava (Claus, 1866)",SPECIES,ACCEPTED,Animalia,"5166206: Dactylopodella flava (Claus, 1866)"
5166224,"Pseudomesochra longifurcata Scott T., 1902",SPECIES,ACCEPTED,Animalia,"5166224: Pseudomesochra longifurcata Scott T., 1902"
5166297,"Asellopsis intermedia (Scott T., 1895)",SPECIES,ACCEPTED,Animalia,"5166297: Asellopsis intermedia (Scott T., 1895)"
5166339,"Lepas anatifera Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5166339: Lepas anatifera Linnaeus, 1758"
5166379,"Temora longicornis (Müller O.F., 1785)",SPECIES,ACCEPTED,Animalia,"5166379: Temora longicornis (Müller O.F., 1785)"
5166385,"Isias clavipes Boeck, 1865",SPECIES,ACCEPTED,Animalia,"5166385: Isias clavipes Boeck, 1865"
5166487,"Megabalanus tintinnabulum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2115692: Balanus tintinnabulum (Linnaeus, 1758)"
5166612,"Sacculina carcini Thompson, 1836",SPECIES,ACCEPTED,Animalia,"5166612: Sacculina carcini Thompson, 1836"
5166680,"Paracyclops fimbriatus (Fischer, 1853)",SPECIES,DOUBTFUL,Animalia,"5166680: Paracyclops fimbriatus (Fischer, 1853)"
5166760,"Ammothea hilgendorfi (Böhm, 1879)",SPECIES,ACCEPTED,Animalia,"5166760: Ammothea hilgendorfi (Böhm, 1879)"
5167064,Sminthurus viridis,SPECIES,ACCEPTED,Animalia,5167064: Sminthurus viridis
5168229,"Micaria albovittata (Lucas, 1846)",SPECIES,ACCEPTED,Animalia,"5720447: Micaria romana L.Koch, 1866"
5168242,"Micaria subopaca Westring, 1861",SPECIES,ACCEPTED,Animalia,"5168242: Micaria subopaca Westring, 1861"
5168243,"Micaria pulicaria (Sundevall, 1831)",SPECIES,ACCEPTED,Animalia,"5168243: Micaria pulicaria (Sundevall, 1831)"
5168255,"Micaria fulgens (Walckenaer, 1802)",SPECIES,ACCEPTED,Animalia,"5168255: Micaria fulgens (Walckenaer, 1802)"
5168258,"Micaria silesiaca L.Koch, 1875",SPECIES,ACCEPTED,Animalia,"5168258: Micaria silesiaca L.Koch, 1875"
5168264,"Micaria dives (Lucas, 1846)",SPECIES,ACCEPTED,Animalia,"5168264: Micaria dives (Lucas, 1846)"
5168302,"Micaria guttulata (C.L.Koch, 1839)",SPECIES,ACCEPTED,Animalia,"5168302: Micaria guttulata (C.L.Koch, 1839)"
5168303,"Micaria formicaria (Sundevall, 1831)",SPECIES,ACCEPTED,Animalia,"5168303: Micaria formicaria (Sundevall, 1831)"
5168316,"Poecilochroa variana (C.L.Koch, 1839)",SPECIES,ACCEPTED,Animalia,"5168316: Poecilochroa variana (C.L.Koch, 1839)"
5168403,"Hypomma bituberculatum (Wider, 1834)",SPECIES,ACCEPTED,Animalia,"5168403: Hypomma bituberculatum (Wider, 1834)"
5168408,"Hypomma fulvum (Bösenberg, 1902)",SPECIES,ACCEPTED,Animalia,"5168408: Hypomma fulvum (Bösenberg, 1902)"
