occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship
;Phaonia tuguriorum;Phaonia tuguriorum (Scopoli, 1763);5068500;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Phaonia;Phaonia tuguriorum;Phaonia tuguriorum;(Scopoli, 1763) 
;Gymnosoma nudifrons;Gymnosoma nudifrons Herting, 1966;5059119;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Tachinidae;Gymnosoma;Gymnosoma nudifrons;Gymnosoma nudifrons;Herting, 1966
;Dicranopalpus ramosus;Dicranopalpus ramosus (Simon, 1909);4553430;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Opiliones;Phalangiidae;Dicranopalpus;Dicranopalpus ramosus;Dicranopalpus ramosus;(Simon, 1909) 
;Xiphydria longicollis;Xiphydria longicollis (Geoffroy, 1785);4492397;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Xiphydriidae;Xiphydria;Xiphydria longicollis;Xiphydria longicollis;(Geoffroy, 1785) 
;Crataegus germanica;Crataegus germanica (L.) Kuntze;3015106;EXACT;97;SYNONYM;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Mespilus;Mespilus germanica;Crataegus germanica;(L.) Kuntze
;Prunus avium;Prunus avium (L.) L.;3020791;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Prunus avium;Prunus avium;(L.) L.
;Cervus elaphus;Cervus elaphus Linnaeus, 1758;2440958;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;Cervus elaphus;Cervus elaphus;Linnaeus, 1758
;Oryctolagus cuniculus;Oryctolagus cuniculus (Linnaeus, 1758);2436940;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Oryctolagus;Oryctolagus cuniculus;Oryctolagus cuniculus;(Linnaeus, 1758) 
;Agalenatea redii;Agalenatea redii (Scopoli, 1763);2160943;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Agalenatea;Agalenatea redii;Agalenatea redii;(Scopoli, 1763) 
;Larinioides sclopetarius;Larinioides sclopetarius (Clerck, 1757);2159209;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Larinioides;Larinioides sclopetarius;Larinioides sclopetarius;(Clerck, 1757) 
;Metellina mengei;Metellina mengei (Blackwall, 1869);2151598;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Araneae;Tetragnathidae;Metellina;Metellina mengei;Metellina mengei;(Blackwall, 1869) 
;Metellina segmentata;Metellina segmentata (Clerck, 1757);2151597;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Araneae;Tetragnathidae;Metellina;Metellina segmentata;Metellina segmentata;(Clerck, 1757) 
;Pseudomallada prasinus;Pseudomallada prasinus (Burmeister, 1839);2106928;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Neuroptera;Chrysopidae;Pseudomallada;Pseudomallada prasinus;Pseudomallada prasinus;(Burmeister, 1839) 
;Himacerus apterus;Himacerus apterus (J.C.Fabricius, 1798);2021041;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hemiptera;Nabidae;Himacerus;Himacerus apterus;Himacerus apterus;(J.C.Fabricius, 1798) 
