"","occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship"
"25",NA,"Thymus pulegioides","Thymus pulegioides L.",5341443,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Thymus","Thymus pulegioides","Thymus pulegioides","L."
"26",NA,"Anthemis arvensis","Anthemis arvensis L.",3102781,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anthemis","Anthemis arvensis","Anthemis arvensis","L."
"27",NA,"Carlina vulgaris","Carlina vulgaris L.",3105380,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Carlina","Carlina vulgaris","Carlina vulgaris","L."
"28",NA,"Ononis spinosa","Ononis spinosa L.",2977149,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Ononis","Ononis spinosa","Ononis spinosa","L."
"29",NA,"Rhinanthus alectorolophus","Rhinanthus alectorolophus (Scop.) Pollich",3172045,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Rhinanthus","Rhinanthus alectorolophus","Rhinanthus alectorolophus","(Scop.) Pollich"
"30",NA,"Harpalus griseus","Harpalus griseus (Panzer, 1796)",6097919,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus griseus","Harpalus griseus","(Panzer, 1796) "
"31",NA,"Stenobothrus lineatus","Stenobothrus lineatus (Panzer, 1796)",1710962,"EXACT",97,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Stenobothrus","Stenobothrus lineatus","Stenobothrus lineatus","(Panzer, 1796) "
"32",NA,"Tetrix tenuicornis","Tetrix tenuicornis (Sahlberg, 1891)",1681181,"EXACT",97,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Orthoptera","Tetrigidae","Tetrix","Tetrix tenuicornis","Tetrix tenuicornis","(Sahlberg, 1891) "
"33",NA,"Saloca diceros","Saloca diceros (O.Pickard-Cambridge, 1871)",2137523,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Saloca","Saloca diceros","Saloca diceros","(O.Pickard-Cambridge, 1871) "
"34",NA,"Formica rufa","Formica rufa Linnaeus, 1761",1315132,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formica","Formica rufa","Formica rufa","Linnaeus, 1761"
"35",NA,"Formica sanguinea","Formica sanguinea Latreille, 1798",1315006,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formica","Formica sanguinea","Formica sanguinea","Latreille, 1798"
"36",NA,"Linum catharticum","Linum catharticum L.",2873865,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Linaceae","Linum","Linum catharticum","Linum catharticum","L."
"37",NA,"Platanthera chlorantha","Platanthera chlorantha (Custer) Rchb.",2797913,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Platanthera","Platanthera chlorantha","Platanthera chlorantha","(Custer) Rchb."
"38",NA,"Apium graveolens","Apium graveolens L.",5371879,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Apium","Apium graveolens","Apium graveolens","L."
"39",NA,"Arctium tomentosum","Arctium tomentosum Mill.",5393080,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arctium","Arctium tomentosum","Arctium tomentosum","Mill."
"40",NA,"Parnassia palustris","Parnassia palustris L.",3032585,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Parnassiaceae","Parnassia","Parnassia palustris","Parnassia palustris","L."
"41",NA,"Chenopodium vulvaria","Chenopodium vulvaria L.",3083932,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium vulvaria","Chenopodium vulvaria","L."
"42",NA,"Cuscuta epithymum","Cuscuta epithymum (L.) L.",2927518,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta","Cuscuta epithymum","Cuscuta epithymum","(L.) L."
"43",NA,"Erica cinerea","Erica cinerea L.",5333411,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Erica","Erica cinerea","Erica cinerea","L."
"44",NA,"Oenanthe pimpinelloides","Oenanthe pimpinelloides L.",5371889,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Oenanthe","Oenanthe pimpinelloides","Oenanthe pimpinelloides","L."
"45",NA,"Daphne mezereum","Daphne mezereum L.",5420852,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae","Daphne","Daphne mezereum","Daphne mezereum","L."
"46",NA,"Misumena vatia","Misumena vatia (Clerck, 1757)",2165951,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Misumena","Misumena vatia","Misumena vatia","(Clerck, 1757) "
"47",NA,"Oxythyrea funesta","Oxythyrea funesta (Poda, 1761)",1077130,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Oxythyrea","Oxythyrea funesta","Oxythyrea funesta","(Poda, 1761) "
"48",NA,"Nymphoides peltata","Nymphoides peltata (S.G.Gmel.) Kuntze",8810827,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Menyanthaceae","Nymphoides","Nymphoides peltata","Nymphoides peltata","(S.G.Gmel.) Kuntze"
"49",NA,"Stachys alpina","Stachys alpina L.",7306931,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys","Stachys alpina","Stachys alpina","L."
"50",NA,"Genista tinctoria","Genista tinctoria L.",5347612,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Genista","Genista tinctoria","Genista tinctoria","L."
"51",NA,"Rhinanthus minor","Rhinanthus minor L.",3172043,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Rhinanthus","Rhinanthus minor","Rhinanthus minor","L."
"52",NA,"Limonium vulgare","Limonium vulgare Mill.",3082322,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Plumbaginaceae","Limonium","Limonium vulgare","Limonium vulgare","Mill."
"53",NA,"Oenanthe silaifolia","Oenanthe silaifolia M.Bieb.",6027222,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Oenanthe","Oenanthe silaifolia","Oenanthe silaifolia","M.Bieb."
"54",NA,"Stachys arvensis","Stachys arvensis (L.) L.",2927229,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys","Stachys arvensis","Stachys arvensis","(L.) L."
"55",NA,"Martes martes","Martes martes (Linnaeus, 1758)",5218878,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Martes","Martes martes","Martes martes","(Linnaeus, 1758) "
