"","occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship"
"100",NA,"Lasiommata megera","Lasiommata megera (Linnaeus, 1767)",4535632,"EXACT",97,"DOUBTFUL","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Pararge","Lasiommata megera","Lasiommata megera","(Linnaeus, 1767) "
"101",NA,"Drosera rotundifolia","Drosera rotundifolia L.",3191030,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","Drosera","Drosera rotundifolia","Drosera rotundifolia","L."
"102",NA,"Morchella esculenta","Morchella esculenta (L.) Pers.",2594602,"EXACT",99,"ACCEPTED","SPECIES","Fungi","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Morchella esculenta","Morchella esculenta","(L.) Pers."
"103",NA,"Serinus serinus","Serinus serinus (Linnaeus, 1766)",2494200,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Serinus serinus","Serinus serinus","(Linnaeus, 1766) "
"104",NA,"Xysticus acerbus","Xysticus acerbus Thorell, 1872",2165222,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","Xysticus acerbus","Xysticus acerbus","Thorell, 1872"
"105",NA,"Tibellus oblongus","Tibellus oblongus (Walckenaer, 1802)",9805173,"EXACT",98,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Philodromidae","Tibellus","Tibellus oblongus","Tibellus oblongus","(Walckenaer, 1802) "
"106",NA,"Coelotes terrestris","Coelotes terrestris (Wider, 1834)",2141379,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Agelenidae","Coelotes","Coelotes terrestris","Coelotes terrestris","(Wider, 1834) "
"107",NA,"Carterocephalus palaemon","Carterocephalus palaemon (Pallas, 1771)",1947335,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carterocephalus","Carterocephalus palaemon","Carterocephalus palaemon","(Pallas, 1771) "
"108",NA,"Thymelicus sylvestris","Thymelicus sylvestris (Poda, 1761)",8273661,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Thymelicus","Thymelicus sylvestris","Thymelicus sylvestris","(Poda, 1761) "
"109",NA,"Trichius fasciatus","Trichius fasciatus (Linnaeus, 1758)",1085188,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Trichius","Trichius fasciatus","Trichius fasciatus","(Linnaeus, 1758) "
"110",NA,"Adalia bipunctata","Adalia bipunctata (Linnaeus, 1758)",1043097,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia","Adalia bipunctata","Adalia bipunctata","(Linnaeus, 1758) "
"111",NA,"Thymallus thymallus","Thymallus thymallus (Linnaeus, 1758)",5203999,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Salmoniformes","Salmonidae","Thymallus","Thymallus thymallus","Thymallus thymallus","(Linnaeus, 1758) "
"112",NA,"Salmo salar","Salmo salar Linnaeus, 1758",7595433,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Salmoniformes","Salmonidae","Salmo","Salmo salar","Salmo salar","Linnaeus, 1758"
"113",NA,"Phylloscopus trochilus","Phylloscopus trochilus (Linnaeus, 1758)",2493052,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus trochilus","Phylloscopus trochilus","(Linnaeus, 1758) "
"114",NA,"Luscinia megarhynchos","Luscinia megarhynchos C.L.Brehm, 1831",7660710,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","Luscinia megarhynchos","C.L.Brehm, 1831"
"115",NA,"Carduelis cannabina","Carduelis cannabina (Linnaeus, 1758)",2494708,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Linaria","Linaria cannabina","Carduelis cannabina","(Linnaeus, 1758) "
"116",NA,"Larus fuscus","Larus fuscus Linnaeus, 1758",2481174,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus fuscus","Larus fuscus","Linnaeus, 1758"
"117",NA,"Falco peregrinus","Falco peregrinus Tunstall, 1771",2481047,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus","Falco peregrinus","Tunstall, 1771"
"118",NA,"Orthonevra nobilis","Orthonevra nobilis (Fallén, 1817)",1537521,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Orthonevra","Orthonevra nobilis","Orthonevra nobilis","(Fallén, 1817) "
"119",NA,"Criorhina ranunculi","Criorhina ranunculi (Panzer, 1803)",5071002,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Criorhina","Criorhina ranunculi","Criorhina ranunculi","(Panzer, 1803) "
"120",NA,"Muscardinus avellanarius","Muscardinus avellanarius (Linnaeus, 1758)",2439658,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Muscardinus avellanarius","Muscardinus avellanarius","(Linnaeus, 1758) "
"121",NA,"Eliomys quercinus","Eliomys quercinus (Linnaeus, 1766)",2439683,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Gliridae","Eliomys","Eliomys quercinus","Eliomys quercinus","(Linnaeus, 1766) "
"122",NA,"Plebejus argus","Plebejus argus (Linnaeus, 1758)",5138561,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus argus","Plebejus argus","(Linnaeus, 1758) "
"123",NA,"Leptidea sinapis","Leptidea sinapis (Linnaeus, 1758)",5137903,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Leptidea","Leptidea sinapis","Leptidea sinapis","(Linnaeus, 1758) "
"124",NA,"Boloria selene","Boloria selene (Denis & Schiffermüller), 1775",1912325,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria selene","Boloria selene","(Denis & Schiffermüller) , 1775"
"125",NA,"Tyto alba","Tyto alba (Scopoli, 1769)",2497921,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto alba","Tyto alba","(Scopoli, 1769) "
"126",NA,"Morchella semilibera","Morchella semilibera DC.",2594649,"EXACT",99,"ACCEPTED","SPECIES","Fungi","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Morchella semilibera","Morchella semilibera","DC."
