Aegomorphus clavipes
Aegopodium podagraria
Aegyptianella pullorum
Aegyptionella pullorum
Aellopos clavipes
Aellopos fadus
Aelurostrongylus abstrusus
Aenasius advena
Aenasius flandersi
Aenasius indicus
Aenetus virescens
Aeolothrips intermedius
Aeolothrips melaleucus
Aeonium arboreum
Aeonium haworthii
Aeonium lancerottense
Aerococcus vaginalis
Aerococcus viridans
Aeromonas caviae
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas salmonicida
Aeromonas veronii
Aeruginoscyphus sericeus
Aesculus × carnea
Aesculus californica
Aesculus glabra
Aesculus hippocastanum
Aetheolaena patens
Aethes francillana
Aethina tumida
Aethusa cynapium
Agalenatea redii
Agalinis auriculata
Agalinis filifolia
Agalinis genistifolia
Agalinis purpurea
Agalinis tenuifolia
Agallia brachyptera
Agapanthia suturalis
Agapanthia villosoviridescens
Agapanthus africanus
Agapanthus praecox
Agapostemon melliventris
Agapostemon nasutus
Agapostemon splendens
Agapostemon virescens
Agaricus abruptibulbus
Agarista salicifolia
Agastache foeniculum
Agastache nepetoides
Agastache scrophulariifolia
Agathidium concinnum
Agathidium laevigatum
Agave americana
Agelaioides badius
Agelastica alni
Agelastica coerulea
Agelena labyrinthica
Ageniaspis fuscicollis
Ageniaspis testaceipes
Ageratina adenophora
Ageratina altissima
Ageratina ampla
Ageratina angustifolia
Ageratina aromatica
Ageratina asclepiadea
Ageratina havanensis
Ageratina pichinchensis
Ageratina popayanensis
Ageratina pseudochilca
Ageratina tinifolia
Ageratum conyzoides
Ageratum houstonianum
Ageratum Yellow vein China virus - OX1
Aglais io
Aglais urticae
Aglaopus glareola
Aglaospora
Aglaospora profusa
Aglia tau
Aglossa dimidiatus
Agonopterix angelicella
Agonopterix robiniella
Agonum muelleri
Agraulis vanillae
Agrilus anxius
Agrilus convexicollis
Agrilus cyanescens
Agrilus derasofasciatus
Agrilus difficilis
Agrilus egenus
Agrilus fallax
Agrilus olivicolor
Agrilus planipennis
Agrilus politus
Agrilus pseudofallax
Agrilus ruficollis
Agrilus sinuatus
Agrilus viridis
Agrilus vittaticollis
Agrimonia eupatoria
Agrimonia pilosa
Agriopis aurantiaria
Agriopis leucophaearia
Agriopis marginaria
Agriostomum vrijburgi
Agriotes mancus
Agriotes obscurus
Agriotes sputator
Agrobacterium pseudotsugae
Agrobacterium radiobacter
Agrobacterium tumefaciens
Agrobacterium vitis
Agrochola circellaris
Agrocybe
Agrocybe cylindracea
Agrocybe erebia
Agrocybe pediades
Agrocybe rivulosa
Agromyza alnivora
