"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"14581","Serenoa repens",Serenoa repens,NA,Plantae,NA, 2735055
"14582","Sericoderus lateralis",Sericoderus lateralis,NA,Animalia,NA, 1044161
"14583","Sericomyia chalcopyga",Sericomyia chalcopyga,NA,Animalia,NA, 1538804
"14584","Sericomyia lappona",Sericomyia lappona,NA,Animalia,NA, 1538831
"14585","Sericomyia silentis",Sericomyia silentis,NA,Animalia,NA, 1538798
"14586","Sericomyia superbiens",Sericomyia superbiens,NA,Animalia,NA, 1538824
"14587","Serilophus lunatus",Serilophus lunatus,NA,Animalia,NA, 2484533
"14588","Serinus serinus",Serinus serinus,NA,Animalia,NA, 2494200
"14589","Serpula himantioides",Serpula himantioides,NA,Fungi,NA, 5239518
"14590","Serpula lacrymans",Serpula lacrymans,NA,Fungi,NA, 5239534
"14591","Serpulina alvinipulli",NA,Serpulina alvinipulli Stanton et al., 1998,NA,EXACT, 5428171
"14592","Serratia ficaria",Serratia ficaria,NA,Bacteria,NA, 3221758
"14593","Serratia fonticola",Serratia fonticola,NA,Bacteria,NA, 3221751
"14594","Serratia liquefaciens",Serratia liquefaciens,NA,Bacteria,NA, 3221757
"14595","Serratia marcescens",Serratia marcescens,NA,Bacteria,NA,11232073
"14596","Serratia rubidaea",Serratia rubidaea,NA,Bacteria,NA, 3221746
"14597","Sesamia cretica",Sesamia cretica,NA,Animalia,NA, 1762358
"14598","Sesbania herbacea",Sesbania herbacea,NA,Plantae,NA, 2970585
"14599","Seseli libanotis",Seseli libanotis,NA,Plantae,NA, 3034133
"14600","Sesia bembeciformis",Sesia bembeciformis,NA,Animalia,NA, 5141501
"14601","Sesuvium portulacastrum",Sesuvium portulacastrum,NA,Plantae,NA, 3084883
"14602","Setaria cervi",Setaria cervi,NA,Animalia,NA, 7029210
"14603","Setaria digitata",Setaria digitata,NA,Animalia,NA, 7029209
"14604","Setaria equina",Setaria equina,NA,Animalia,NA, 7029183
