"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"1","Aaroniella badonneli",Aaroniella badonneli,NA,Animalia,NA, 9222483
"2","Abaeis deva",Abaeis,NA,Animalia,NA, 8213918
"3","Abaeis nicippe",Abaeis nicippe,NA,Animalia,NA, 1920621
"4","Abaeis salome",Abaeis,NA,Animalia,NA, 8213918
"5","Abatia parviflora",Abatia parviflora,NA,Plantae,NA, 3878235
"6","Abax ovalis",Abax ovalis,NA,Animalia,NA, 5754770
"7","Abdera biflexuosa",Abdera biflexuosa,NA,Animalia,NA, 7984899
"8","Abdera flexuosa",Abdera flexuosa,NA,Animalia,NA, 4453551
"9","Abdera quadrifasciata",Abdera quadrifasciata,NA,Animalia,NA, 4453544
"10","Abies alba",Abies alba,NA,Plantae,NA, 2685484
"11","Abies balsamea",Abies balsamea,NA,Plantae,NA, 2685383
"12","Abies concolor",Abies concolor,NA,Plantae,NA, 2685580
"13","Abies grandis",Abies grandis,NA,Plantae,NA, 2685361
"14","Abies lasiocarpa",Abies lasiocarpa,NA,Plantae,NA, 2685313
"15","Abies magnifica",Abies magnifica,NA,Plantae,NA, 2685422
"16","Abies procera",Abies procera,NA,Plantae,NA, 2685308
"17","Abispa ephippium",Abispa ephippium,NA,Animalia,NA, 1330580
"18","Ablaxia temporalis",Ablaxia temporalis,NA,Animalia,NA, 1394900
"19","Ablerus celsus",Ablerus celsus,NA,Animalia,NA, 1364547
"20","Ablerus clisiocampae",Ablerus clisiocampae,NA,Animalia,NA, 1364517
"21","Abraxas grossulariata",Abraxas grossulariata,NA,Animalia,NA, 1967873
"22","Abronia latifolia",Abronia latifolia,NA,Plantae,NA, 5384891
"23","Abronia maritima",Abronia maritima,NA,Plantae,NA, 5384895
"24","Abronia umbellata",Abronia umbellata,NA,Plantae,NA, 5384870
"25","Abronia villosa",Abronia villosa,NA,Plantae,NA, 5384880
"26","Abrostola triplasia",Abrostola triplasia,NA,Animalia,NA, 1767597
"27","Absidia corymbifera",NA,Absidia corymbifera (Cohn) Sacc. & Trotter,NA,EXACT, 5250325
"28","Aburria jacutinga",Aburria jacutinga,NA,Animalia,NA, 2482302
"29","Abutilon grandifolium",Abutilon grandifolium,NA,Plantae,NA, 3152633
"30","Abutilon theophrasti",Abutilon theophrasti,NA,Plantae,NA, 3152614
"31","Acacia longifolia",Acacia longifolia,NA,Plantae,NA, 2978730
"32","Acacia melanoxylon",Acacia melanoxylon,NA,Plantae,NA, 2979000
"33","Acacia retinodes",Acacia retinodes,NA,Plantae,NA, 2979408
"34","Acacia saligna",Acacia saligna,NA,Plantae,NA, 2978552
"35","Acalitus brevitarsus",Acalitus brevitarsus,NA,Animalia,NA, 4544242
"36","Acalitus essigi",Acalitus essigi,NA,Animalia,NA, 2128559
"37","Acalitus phyllereus",Acalitus phyllereus,NA,Animalia,NA, 4544238
"38","Acalles misellus",Acalles misellus,NA,Animalia,NA, 1211839
"39","Acalypta carinata",Acalypta carinata,NA,Animalia,NA, 2020737
"40","Acalypta nigrina",Acalypta nigrina,NA,Animalia,NA, 4488999
"41","Acamptopappus sphaerocephalus",Acamptopappus sphaerocephalus,NA,Plantae,NA, 3113874
"42","Acanalonia conica",Acanalonia conica,NA,Animalia,NA, 2064632
"43","Acantharia sinensis",Acantharia sinensis,NA,Fungi,NA, 5262785
"44","Acanthis cabaret",NA,Acanthis cabaret (Müller & Pls, 1776),NA,EXACT, 6871058
"45","Acanthocephala femorata",Acanthocephala femorata,NA,Animalia,NA, 5156080
"46","Acanthocephala terminalis",Acanthocephala terminalis,NA,Animalia,NA, 5156079
"47","Acanthocinus aedilis",Acanthocinus aedilis,NA,Animalia,NA,10595482
"48","Acanthocinus griseus",Acanthocinus griseus,NA,Animalia,NA, 4459446
"49","Acantholybas brunneus",Acantholybas brunneus,NA,Animalia,NA, 2050058
"50","Acanthonitschkea tristis",Acanthonitschkea tristis,NA,Fungi,NA, 8693810
"51","Acanthoscelides obtectus",Acanthoscelides obtectus,NA,Animalia,NA, 1047525
"52","Acanthosoma haemorrhoidale",Acanthosoma haemorrhoidale,NA,Animalia,NA, 5866246
"53","Acanthostigma ellisii",Acanthostigma ellisii,NA,Fungi,NA, 2613819
"54","Acanthotrema tridactyla",Acanthotrema tridactyla,NA,Animalia,NA, 7519332
"55","Acanthuchus trispinifer",Acanthuchus trispinifer,NA,Animalia,NA, 2023832
"56","Acarapis woodi",Acarapis woodi,NA,Animalia,NA, 4542910
"57","Acaricomes phytoseiuli",Acaricomes phytoseiuli,NA,Bacteria,NA, 3224615
"58","Acca sellowiana",NA,Acca sellowiana (O.Berg) Burret,NA,EXACT, 5418629
"59","Accipiter brevipes",Accipiter brevipes,NA,Animalia,NA, 2480578
"60","Accipiter cooperii",Accipiter cooperii,NA,Animalia,NA, 2480621
"61","Accipiter gentilis",Accipiter gentilis,NA,Animalia,NA, 2480589
"62","Accipiter nisus",Accipiter nisus,NA,Animalia,NA, 2480637
"63","Accipiter striatus",Accipiter striatus,NA,Animalia,NA, 9740253
"64","Acer campestre",Acer campestre,NA,Plantae,NA, 3189863
"65","Acer circinatum",Acer circinatum,NA,Plantae,NA, 3189884
"66","Acer ginnala",NA,Acer ginnala Maxim.,NA,EXACT, 3189845
"67","Acer glabrum",Acer glabrum,NA,Plantae,NA, 3189864
"68","Acer macrophyllum",Acer macrophyllum,NA,Plantae,NA, 3189835
"69","Acer negundo",Acer negundo,NA,Plantae,NA, 3189866
"70","Acer palmatum",Acer palmatum,NA,Plantae,NA, 3189882
"71","Acer pensylvanicum",Acer pensylvanicum,NA,Plantae,NA, 3189836
"72","Acer platanoides",Acer platanoides,NA,Plantae,NA, 3189846
"73","Acer pseudoplatanus",Acer pseudoplatanus,NA,Plantae,NA, 3189870
"74","Acer rubrum",Acer rubrum,NA,Plantae,NA, 3189883
"75","Acer saccharinum",Acer saccharinum,NA,Plantae,NA, 3189837
"76","Acer saccharum",Acer saccharum,NA,Plantae,NA, 3189859
"77","Acer serrulatum",NA,Acer serrulatum Hayata,NA,EXACT, 3768564
"78","Aceria cephalonea",Aceria cephaloneus,NA,Animalia,NA, 4544485
"79","Aceria fraxinicola",Aceria fraxinicola,NA,Animalia,NA, 6912757
"80","Aceria fraxinivora",Aceria fraxinivora,NA,Animalia,NA, 4544510
"81","Aceria heteronyx",Aceria heteronyx,NA,Animalia,NA, 4544759
"82","Aceria lantanae",Aceria lantanae,NA,Animalia,NA, 6913105
"83","Aceria macrorhyncha",Aceria macrorhynchus,NA,Animalia,NA, 4544601
"84","Aceria macrotrichus",NA,Aceria macrotrichus (Nalepa, 1889),NA,EXACT, 6913128
"85","Aceria nalepai",Aceria nalepai,NA,Animalia,NA, 4544708
"86","Aceria pongamiae",Aceria pongamiae,NA,Animalia,NA, 6912835
"87","Aceria pseudoplatani",Aceria pseudoplatani,NA,Animalia,NA, 4544550
"88","Aceria tenella",Aceria tenellus,NA,Animalia,NA, 4544650
"89","Acericecis ocellaris",Acericecis ocellaris,NA,Animalia,NA, 1596254
"90","Acerophagus flavidulus",Acerophagus,NA,Animalia,NA, 1373052
"91","Acerophagus gutierreziae",Acerophagus gutierreziae,NA,Animalia,NA, 1373070
"92","Acerophagus malinus",Acerophagus malinus,NA,Animalia,NA,10582307
"93","Acerophagus notativentris",Acerophagus notativentris,NA,Animalia,NA, 1373072
"94","Acetitomaculum ruminis",Acetitomaculum ruminis,NA,Bacteria,NA, 3226778
"95","Acetobacter indonesiensis",Acetobacter indonesiensis,NA,Bacteria,NA, 3221520
"96","Acetobacter pasteurianus",Acetobacter pasteurianus,NA,Bacteria,NA, 3221525
"97","Achaea janata",Achaea janata,NA,Animalia,NA, 5113950
"98","Achaea lienardi",Achaea lienardi,NA,Animalia,NA, 5884245
"99","Achaius oratorius",Achaius oratorius,NA,Animalia,NA, 1286594
"100","Achanthiptera rohrelliformis",Achanthiptera rohrelliformis,NA,Animalia,NA, 4518573
"101","Acharia stimulea",Acharia stimulea,NA,Animalia,NA, 9776414
"102","Achatia distincta",Achatia distincta,NA,Animalia,NA, 1797593
"103","Acherontia atropos",Acherontia atropos,NA,Animalia,NA, 1861510
"104","Acherontia lachesis",Acherontia lachesis,NA,Animalia,NA, 1861488
"105","Acheta domesticus",Acheta domesticus,NA,Animalia,NA, 1718308
"106","Achillea filipendulina",Achillea filipendulina,NA,Plantae,NA, 3120284
"107","Achillea ligustica",Achillea ligustica,NA,Plantae,NA, 3120032
"108","Achillea millefolium",Achillea millefolium,NA,Plantae,NA, 3120060
"109","Achillea ptarmica",Achillea ptarmica,NA,Plantae,NA, 3120333
"110","Achlya flavicornis",Achlya flavicornis,NA,Animalia,NA, 1952229
"111","Achlya racemosa",Achlya racemosa,NA,Chromista,NA, 5424215
"112","Achlyodes pallida",Achlyodes pallida,NA,Animalia,NA, 1945476
"113","Achlysiella williamsi",Achlysiella williamsi,NA,Animalia,NA, 7024164
"114","Achnanthes joursacense",Achnanthes joursacense,NA,Chromista,NA, 8091068
"115","Achnanthes lemmermannii",Achnanthes lemmermannii,NA,Chromista,NA, 7726826
"116","Achnanthes minutissima",Achnanthes minutissima,NA,Chromista,NA, 8078711
"117","Achnanthes modestiformis",NA,Achnanthes modestiformis Lange-Bert., 1989,NA,EXACT, 8142570
"118","Achnanthes ploenensis",Achnanthes ploenensis,NA,Chromista,NA, 7622160
"119","Achnanthidium helveticum",NA,Achnanthidium helveticum (Hustedt) Monnier, Lange-Bertalot & Ector, 2007,NA,EXACT, 7908198
"120","Acholeplasma equifetale",Acholeplasma equifetale,NA,Bacteria,NA, 5427909
"121","Acholeplasma laidlawii",Acholeplasma laidlawii,NA,Bacteria,NA,11822169
"122","Acholeplasma morum",Acholeplasma morum,NA,Bacteria,NA, 5427897
"123","Achorion schoenleini",NA,Achorion schoenleinii Remak ex Guég.,NA,FUZZY, 2596105
"124","Achroia grisella",Achroia grisella,NA,Animalia,NA, 1870988
"125","Achromobacter xylosoxidans",Achromobacter xylosoxidans,NA,Bacteria,NA, 9623306
"126","Achrysocharoides buekkensis",NA,Achrysocharoides buekkensis (Erdös, 1958),NA,EXACT,10056035
"127","Achrysocharoides butus",Achrysocharoides butus,NA,Animalia,NA, 1380978
"128","Achrysocharoides carpini",Achrysocharoides carpini,NA,Animalia,NA, 1380923
"129","Achrysocharoides cilla",Achrysocharoides cilla,NA,Animalia,NA, 1380956
"130","Achrysocharoides gahani",Achrysocharoides gahani,NA,Animalia,NA, 1380946
"131","Achrysocharoides latreillii",Achrysocharoides latreillii,NA,Animalia,NA, 1380988
"132","Achrysocharoides niveipes",Achrysocharoides niveipes,NA,Animalia,NA, 1380911
"133","Achrysocharoides parva",Achrysocharoides parva,NA,Animalia,NA, 1380984
"134","Achrysocharoides robiniae",Achrysocharoides robiniae,NA,Animalia,NA, 9036299
"135","Achrysocharoides robinicolus",Achrysocharoides robinicolus,NA,Animalia,NA, 9010628
"136","Achrysocharoides splendens",Achrysocharoides splendens,NA,Animalia,NA, 1380982
"137","Achrysocharoides zwoelferi",Achrysocharoides zwoelferi,NA,Animalia,NA, 1380926
"138","Achyrocline satureoides",Achyrocline satureioides,NA,Plantae,NA, 3139534
"139","Achytonix epipaschia",Achytonix,NA,Animalia,NA, 1786548
"140","Acidovorax defluvii",Acidovorax defluvii,NA,Bacteria,NA, 3220151
"141","Acinetobacter baumannii",Acinetobacter baumannii,NA,Bacteria,NA, 3223274
"142","Acinetobacter calcoaceticus",Acinetobacter calcoaceticus,NA,Bacteria,NA,10952483
"143","Acinetobacter gandensis",Acinetobacter gandensis,NA,Bacteria,NA, 7602661
"144","Acinetobacter haemolyticus",Acinetobacter haemolyticus,NA,Bacteria,NA, 3223279
"145","Acinetobacter marinus",Acinetobacter marinus,NA,Bacteria,NA, 5909214
"146","Acinetobacter soli",Acinetobacter soli,NA,Bacteria,NA, 8015086
"147","Acinetobacter variabilis",Acinetobacter variabilis,NA,Bacteria,NA, 8112355
"148","Acleris cristana",Acleris cristana,NA,Animalia,NA, 1739819
"149","Acleris forsskaleana",Acleris forsskaleana,NA,Animalia,NA, 1739922
"150","Acleris gloveranus",Acleris gloveranus,NA,Animalia,NA, 1739770
"151","Acleris gossypiella",Acleris,NA,Animalia,NA, 1739724
"152","Acleris literana",Acleris literana,NA,Animalia,NA, 1739931
"153","Acleris minuta",Acleris minuta,NA,Animalia,NA, 1739988
"154","Acleris notana",Acleris notana,NA,Animalia,NA, 1740374
"155","Acleris variegana",Acleris variegana,NA,Animalia,NA, 1739833
"156","Acmella caulirhiza",Acmella caulirhiza,NA,Plantae,NA, 5386755
"157","Acmispon brachycarpus",Acmispon brachycarpus,NA,Plantae,NA, 2975809
"158","Acmispon glaber",Acmispon glaber,NA,Plantae,NA, 7274828
"159","Acmispon rigidus",Acmispon rigidus,NA,Plantae,NA, 3907980
"160","Acmopolynema sema",Acmopolynema sema,NA,Animalia,NA, 1368094
"161","Acnistus arborescens",Acnistus arborescens,NA,Plantae,NA, 2928878
"162","Aconitum carmichaelii",Aconitum carmichaelii,NA,Plantae,NA, 3033673
"163","Aconitum firmum",Aconitum firmum,NA,Plantae,NA, 7277348
"164","Aconitum hosteanum",NA,Aconitum hosteanum Schur,NA,EXACT, 3924597
"165","Aconitum lycoctonum",Aconitum lycoctonum,NA,Plantae,NA, 3033675
"166","Aconophora compressa",Aconophora compressa,NA,Animalia,NA, 2023722
"167","Aconophora elongatiformis",Aconophora elongatiformis,NA,Animalia,NA, 2023728
"168","Acraea aganice",Acraea aganice,NA,Animalia,NA,10004066
"169","Acraea egina",Acraea egina,NA,Animalia,NA, 5136215
"170","Acraea insignis",Acraea insignis,NA,Animalia,NA, 5136012
"171","Acraea natalica",Acraea natalica,NA,Animalia,NA, 5135760
"172","Acraea terpsicore",Acraea terpsicore,NA,Animalia,NA,11535847
"173","Acraea violae",Acraea violae,NA,Animalia,NA, 5135643
"174","Acraea zetes",Acraea zetes,NA,Animalia,NA, 5136131
"175","Acremonium kiliense",NA,Acremonium kiliense Grütz,NA,EXACT, 2562416
"176","Acria emarginella",Acria emarginella,NA,Animalia,NA, 1839465
"177","Acrida cinerea",Acrida cinerea,NA,Animalia,NA, 5099473
"178","Acridotheres fuscus",Acridotheres fuscus,NA,Animalia,NA, 2489006
"179","Acridotheres tristis",Acridotheres tristis,NA,Animalia,NA, 2489005
"180","Acrobasis advenella",Acrobasis advenella,NA,Animalia,NA, 4531147
"181","Acrobasis indigenella",Acrobasis indigenella,NA,Animalia,NA, 1874158
"182","Acrobasis juglandis",Acrobasis juglandis,NA,Animalia,NA, 1874279
"183","Acrobasis tricolorella",Acrobasis tricolorella,NA,Animalia,NA, 1874274
"184","Acrocercops brongniardella",Acrocercops brongniardella,NA,Animalia,NA, 1751051
"185","Acrocercops eugeniella",Acrocercops eugeniella,NA,Animalia,NA, 1750910
"186","Acrocercops hierocosma",Acrocercops,NA,Animalia,NA, 1750759
"187","Acrocomia aculeata",Acrocomia aculeata,NA,Plantae,NA, 7413879
"188","Acrocormus semifasciatus",Acrocormus semifasciatus,NA,Animalia,NA, 1392148
"189","Acronicta aceris",Acronicta aceris,NA,Animalia,NA, 1782763
"190","Acronicta americana",Acronicta americana,NA,Animalia,NA, 1783008
"191","Acronicta auricoma",Acronicta auricoma,NA,Animalia,NA, 1782927
"192","Acronicta brumosa",Acronicta brumosa,NA,Animalia,NA, 1782705
"193","Acronicta euphorbiae",Acronicta euphorbiae,NA,Animalia,NA, 1782727
"194","Acronicta interrupta",Acronicta interrupta,NA,Animalia,NA, 1782743
"195","Acronicta leporina",Acronicta leporina,NA,Animalia,NA, 1783043
"196","Acronicta pruni",NA,Acronicta pruni Harris, 1869,NA,EXACT, 1783027
"197","Acronicta psi",Acronicta psi,NA,Animalia,NA, 1782948
"198","Acronicta rumicis",Acronicta rumicis,NA,Animalia,NA, 1782672
"199","Acronicta tridens",Acronicta tridens,NA,Animalia,NA, 1783016
"200","Acrophylla titan",Acrophylla titan,NA,Animalia,NA, 1411885
"201","Acrophylla wuelfingi",Acrophylla wuelfingi,NA,Animalia,NA, 1411871
"202","Acrospeira mirabilis",Acrospeira mirabilis,NA,Fungi,NA, 2589248
"203","Acrospermum compressum",Acrospermum compressum,NA,Fungi,NA, 2612450
"204","Acrosporium carneum",Acrosporium carneum,NA,Fungi,NA, 6020718
"205","Acrossidius tasmaniae",Acrossidius tasmaniae,NA,Animalia,NA, 1067377
"206","Acrostalagmus",Acrostalagmus,NA,Fungi,NA, 9732114
"207","Acrosternum heegeri",Acrosternum heegeri,NA,Animalia,NA, 2079176
"208","Acrosternum millierei",Acrosternum millierei,NA,Animalia,NA, 4485826
"209","Acrotona parvula",Acrotona parvula,NA,Animalia,NA, 6097685
"210","Acrotrichis fascicularis",Acrotrichis fascicularis,NA,Animalia,NA, 4435785
"211","Acrotrichis sitkaensis",Acrotrichis sitkaensis,NA,Animalia,NA, 4435743
"212","Actaea europaea",Actaea europaea,NA,Plantae,NA, 5616602
"213","Actaea racemosa",Actaea racemosa,NA,Plantae,NA, 6376106
"214","Actias luna",Actias luna,NA,Animalia,NA, 1865668
"215","Actias selene",Actias selene,NA,Animalia,NA, 1865660
"216","Actinobacillus capsulatus",Actinobacillus capsulatus,NA,Bacteria,NA, 8914186
"217","Actinobacillus equuli",Actinobacillus equuli,NA,Bacteria,NA, 3222277
"218","Actinobacillus lignieresii",Actinobacillus lignieresii,NA,Bacteria,NA, 3222268
"219","Actinobacillus pleuropneumoniae",NA,Actinobacillus pleuropneumoniae,NA,EXACT, 3222283
"220","Actinobacillus succinogenes",Actinobacillus succinogenes,NA,Bacteria,NA, 3222272
"221","Actinobacillus suis",Actinobacillus suis,NA,Bacteria,NA, 3222265
"222","Actinocladium rhodosporum",Actinocladium rhodosporum,NA,Fungi,NA, 2587711
"223","Actinodendron verticillatum",Actinodendron verticillatum,NA,Fungi,NA, 2595794
"224","Actinomucor elegans",Actinomucor elegans,NA,Fungi,NA, 2558521
"225","Actinomyces bovis",Actinomyces bovis,NA,Bacteria,NA, 3225750
"226","Actinomyces denticolens",Actinomyces denticolens,NA,Bacteria,NA, 3225757
"227","Actinomyces howellii",Actinomyces howellii,NA,Bacteria,NA, 3225760
"228","Actinomyces israelii",Actinomyces israelii,NA,Bacteria,NA, 3225777
"229","Actinomyces ruminicola",Actinomyces ruminicola,NA,Bacteria,NA, 3225766
"230","Actinomyces slackii",Actinomyces slackii,NA,Bacteria,NA, 3225753
"231","Actinomyces vaccimaxillae",Actinomyces vaccimaxillae,NA,Bacteria,NA, 3225762
"232","Actinonema fraxini",Actinonema,NA,Animalia,NA, 2280808
"233","Actizera lucida",Actizera lucida,NA,Animalia,NA, 1927313
"234","Actizera stellata",Actizera stellata,NA,Animalia,NA, 1927308
"235","Acuaria cordata",Acuaria cordata,NA,Animalia,NA, 7027529
"236","Acuaria hamulosa",Acuaria hamulosa,NA,Animalia,NA, 7027538
"237","Acuaria kinsellai",Acuaria,NA,Animalia,NA, 2284402
"238","Aculepeira ceropegia",Aculepeira ceropegia,NA,Animalia,NA, 2159474
"239","Aculops acericola",Aculops acericola,NA,Animalia,NA, 4543858
"240","Aculops macrotrichus",Aculops macrotrichus,NA,Animalia,NA, 4543885
"241","Aculus craspedobius",Aculus craspedobius,NA,Animalia,NA, 4544144
"242","Aculus epiphyllus",Aculus epiphyllus,NA,Animalia,NA, 4544087
"243","Aculus fraxini",Aculus fraxini,NA,Animalia,NA, 4544020
"244","Aculus tetanothrix",Aculus tetanothrix,NA,Animalia,NA, 4544042
"245","Acupalpus meridianus",Acupalpus meridianus,NA,Animalia,NA, 1037633
"246","Acute bee paralysis virus",Acute bee paralysis virus,NA,incertae sedis,NA, 9990066
"247","Acyrthosiphon kondoi",Acyrthosiphon kondoi,NA,Animalia,NA, 2077491
"248","Acyrthosiphon pisum",Acyrthosiphon pisum,NA,Animalia,NA, 2077503
"249","Acytolepis puspa",Acytolepis puspa,NA,Animalia,NA, 1924298
"250","Adalia bipunctata",Adalia bipunctata,NA,Animalia,NA, 1043097
"251","Adalia decempunctata",Adalia decempunctata,NA,Animalia,NA, 4452227
"252","Adela croesella",Adela croesella,NA,Animalia,NA, 1860979
"253","Adela paludicolella",Adela paludicolella,NA,Animalia,NA, 1860964
"254","Adela reaumurella",NA,Adela reaumurella Duponchel, 1838,NA,EXACT, 1860973
"255","Adelaide River ephemerovirus",Adelaide River ephemerovirus,NA,incertae sedis,NA,10369307
"256","Adelencyrtus brachycaudae",Adelencyrtus brachycaudae,NA,Animalia,NA, 1376218
"257","Adelges cooleyi",Adelges cooleyi,NA,Animalia,NA, 2049732
"258","Adelges piceae",Adelges piceae,NA,Animalia,NA, 2049681
"259","Adelges tsugae",Adelges tsugae,NA,Animalia,NA, 2049739
"260","Adelinia grande",NA,Adelinia grande (Douglas ex Lehm.) J.I.Cohen,NA,EXACT, 7830017
"261","Adelpha californica",NA,Adelpha californica Butler, 1865,NA,EXACT, 5714313
"262","Adelpha syma",NA,Adelpha syma Godart, 1823,NA,EXACT, 9957196
"263","Adelphocoris seticornis",Adelphocoris seticornis,NA,Animalia,NA, 2009421
"264","Adeno-associated dependoparvovirus A",Adeno-associated dependoparvovirus A,NA,incertae sedis,NA,10414059
"265","Adeno-associated dependoparvovirus B",Adeno-associated dependoparvovirus B,NA,incertae sedis,NA,10269266
"266","Adenocaulon bicolor",Adenocaulon bicolor,NA,Plantae,NA, 3092979
"267","Adenocaulon himalaicum",Adenocaulon himalaicum,NA,Plantae,NA, 3092973
"268","Adenophora triphylla",Adenophora triphylla,NA,Plantae,NA, 5409255
"269","Adenostoma fasciculatum",Adenostoma fasciculatum,NA,Plantae,NA, 3030227
"270","Adenostoma sparsifolium",Adenostoma sparsifolium,NA,Plantae,NA, 3030225
"271","Aderus populneus",Aderus populneus,NA,Animalia,NA, 1047210
"272","Adesmia bijuga",Adesmia bijuga,NA,Plantae,NA, 5356185
"273","Adesmia grandiflora",Adesmia grandiflora,NA,Plantae,NA, 8226432
"274","Adinandra integerrima",Adinandra integerrima,NA,Plantae,NA, 3591994
"275","Adolphia infesta",Adolphia infesta,NA,Plantae,NA, 5372476
"276","Adoretosoma galerucina",Adoretosoma galerucina,NA,Animalia,NA, 5990676
"277","Adoryphorus couloni",Adoryphorus couloni,NA,Animalia,NA, 1075866
"278","Adoxa moschatellina",Adoxa moschatellina,NA,Plantae,NA, 2888794
"279","Adoxophyes dubia",Adoxophyes dubia,NA,Animalia,NA,11821572
"280","Adoxophyes fasciculana",Adoxophyes fasciculana,NA,Animalia,NA, 1740443
"281","Adoxophyes orana",Adoxophyes orana,NA,Animalia,NA, 1740482
"282","Adoxophyes privatana",Adoxophyes privatana,NA,Animalia,NA, 1740469
"283","Adrastus rachifer",Adrastus rachifer,NA,Animalia,NA, 4428912
"284","Aecidium elaeagni",Aecidium elaeagni,NA,Fungi,NA, 3374726
"285","Aecidium euphorbiae",NA,Aecidium euphorbiae Pers.,NA,EXACT, 2514310
"286","Aecidium fraxini",Aecidium,NA,Fungi,NA, 2513143
"287","Aecidium hederae",Aecidium hederae,NA,Fungi,NA, 7897579
"288","Aecidium mori",Aecidium mori,NA,Fungi,NA, 9548764
"289","Aecidium nikkense",Aecidium nikkense,NA,Fungi,NA, 3374788
"290","Aecidium polygoni-cuspidati",Aecidium polygoni-cuspidati,NA,Fungi,NA, 3376023
"291","Aecidium raphiolepidis",Aecidium raphiolepidis,NA,Fungi,NA, 3375600
"292","Aecidium verbenae",Aecidium verbenae,NA,Fungi,NA, 2517585
"293","Aedes aegypti",Aedes aegypti,NA,Animalia,NA, 1651891
"294","Aedes albopictus",Aedes albopictus,NA,Animalia,NA, 1651430
"295","Aedes camptorhynchus",Aedes camptorhynchus,NA,Animalia,NA, 1652230
"296","Aedes flavescens",Aedes flavescens,NA,Animalia,NA, 1651126
"297","Aedes nigromaculis",Aedes nigromaculis,NA,Animalia,NA, 1652465
"298","Aedes notoscriptus",Aedes notoscriptus,NA,Animalia,NA, 1652043
"299","Aedes punctor",Aedes punctor,NA,Animalia,NA, 1652371
"300","Aedes sierrensis",Aedes sierrensis,NA,Animalia,NA, 1652224
"301","Aegerita torulosa",Aegerita torulosa,NA,Fungi,NA, 2544902
"302","Aegithalos caudatus",Aegithalos caudatus,NA,Animalia,NA, 2495000
"303","Aegithina lafresnayei",Aegithina lafresnayei,NA,Animalia,NA, 2484094
"304","Aegithina tiphia",Aegithina tiphia,NA,Animalia,NA, 2484096
"305","Aegolius funereus",Aegolius funereus,NA,Animalia,NA, 5739298
"306","Aegomorphus clavipes",Aegomorphus clavipes,NA,Animalia,NA, 5003411
"307","Aegopodium podagraria",Aegopodium podagraria,NA,Plantae,NA, 3034620
"308","Aegyptianella pullorum",Aegyptianella pullorum,NA,Bacteria,NA, 3221449
"309","Aegyptionella pullorum",Aegyptianella pullorum,NA,Bacteria,NA, 3221449
"310","Aellopos clavipes",Aellopos clavipes,NA,Animalia,NA, 5124442
"311","Aellopos fadus",Aellopos fadus,NA,Animalia,NA, 5124443
"312","Aelurostrongylus abstrusus",Aelurostrongylus abstrusus,NA,Animalia,NA, 2283438
"313","Aenasius advena",Aenasius advena,NA,Animalia,NA, 1378838
"314","Aenasius flandersi",Aenasius flandersi,NA,Animalia,NA, 1378816
"315","Aenasius indicus",Aenasius indicus,NA,Animalia,NA, 1378836
"316","Aenetus virescens",Aenetus virescens,NA,Animalia,NA, 1828826
"317","Aeolothrips intermedius",Aeolothrips intermedius,NA,Animalia,NA, 1420998
"318","Aeolothrips melaleucus",Aeolothrips melaleucus,NA,Animalia,NA, 1421005
"319","Aeonium arboreum",Aeonium arboreum,NA,Plantae,NA, 2985682
"320","Aeonium haworthii",Aeonium haworthii,NA,Plantae,NA, 2985683
"321","Aeonium lancerottense",Aeonium lancerottense,NA,Plantae,NA, 4197955
"322","Aerococcus vaginalis",Aerococcus vaginalis,NA,Bacteria,NA, 7499733
"323","Aerococcus viridans",Aerococcus viridans,NA,Bacteria,NA,10902011
"324","Aeromonas caviae",Aeromonas caviae,NA,Bacteria,NA, 3222881
"325","Aeromonas hydrophila",Aeromonas hydrophila,NA,Bacteria,NA, 3222868
"326","Aeromonas jandaei",Aeromonas jandaei,NA,Bacteria,NA, 8912746
"327","Aeromonas salmonicida",Aeromonas salmonicida,NA,Bacteria,NA, 3222886
"328","Aeromonas veronii",Aeromonas veronii,NA,Bacteria,NA, 3222883
"329","Aeruginoscyphus sericeus",Aeruginoscyphus sericeus,NA,Fungi,NA, 7590594
"330","Aesculus × carnea",Aesculus carnea,NA,Plantae,NA, 3189809
"331","Aesculus californica",Aesculus californica,NA,Plantae,NA, 3189813
"332","Aesculus glabra",Aesculus glabra,NA,Plantae,NA, 3189806
"333","Aesculus hippocastanum",Aesculus hippocastanum,NA,Plantae,NA, 3189815
"334","Aetheolaena patens",Aetheolaena patens,NA,Plantae,NA, 3099484
"335","Aethes francillana",Aethes francillana,NA,Animalia,NA, 1738334
"336","Aethina tumida",Aethina tumida,NA,Animalia,NA, 8254044
"337","Aethusa cynapium",Aethusa cynapium,NA,Plantae,NA, 5371825
"338","Agalenatea redii",Agalenatea redii,NA,Animalia,NA, 2160943
"339","Agalinis auriculata",Agalinis auriculata,NA,Plantae,NA, 3171193
"340","Agalinis filifolia",Agalinis filifolia,NA,Plantae,NA, 3171278
"341","Agalinis genistifolia",Agalinis genistifolia,NA,Plantae,NA, 8515825
"342","Agalinis purpurea",Agalinis purpurea,NA,Plantae,NA, 3171284
"343","Agalinis tenuifolia",Agalinis tenuifolia,NA,Plantae,NA, 3171226
"344","Agallia brachyptera",Agallia brachyptera,NA,Animalia,NA, 4482818
