occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Phellodon confluens","Phellodon confluens (Pers.) Pouzar","2522158","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Phellodon","Phellodon confluens","Phellodon confluens","(Pers.) Pouzar"
,"Phellodon melaleucus","Phellodon melaleucus","8617372","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Phellodon","Phellodon melaleucus","Phellodon melaleucus",
,"Phellodon niger","Phellodon niger (Fr.) P.Karst.","2522192","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Phellodon","Phellodon niger","Phellodon niger","(Fr.) P.Karst."
,"Phylloporus pelletieri","Phylloporus pelletieri (Lév.) Quél.","2524468","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Phylloporus","Phylloporus pelletieri","Phylloporus pelletieri","(Lév.) Quél."
,"Pisolithus arhizus","Pisolithus arhizus (Scop.) Rauschert","2525455","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus","Pisolithus arhizus","Pisolithus arhizus","(Scop.) Rauschert"
,"Pleurotus dryinus","Pleurotus dryinus (Pers.) P.Kumm.","2526564","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Pleurotus","Pleurotus dryinus","Pleurotus dryinus","(Pers.) P.Kumm."
,"Poronia punctata","Poronia punctata (L.) Fr.","8530425","EXACT","99","ACCEPTED","SPECIES","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Poronia","Poronia punctata","Poronia punctata","(L.) Fr."
,"Boletus impolitus","Boletus impolitus Fr.","5954881","EXACT","97","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Hemileccinum","Hemileccinum impolitum","Boletus impolitus","Fr."
,"Pseudocraterellus undulatus","Pseudocraterellus undulatus (Pers.) Rauschert","2554613","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Pseudocraterellus","Pseudocraterellus undulatus","Pseudocraterellus undulatus","(Pers.) Rauschert"
,"Rhizina undulata","Rhizina undulata Fr.","2593192","EXACT","99","ACCEPTED","SPECIES","Fungi","Ascomycota","Pezizomycetes","Pezizales","Rhizinaceae","Rhizina","Rhizina undulata","Rhizina undulata","Fr."
,"Russula adusta","Russula adusta (Pers.) Fr.","9223923","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula adusta","Russula adusta","(Pers.) Fr."
,"Russula albonigra","Russula albonigra (Krombh.) Fr.","2551443","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula albonigra","Russula albonigra","(Krombh.) Fr."
,"Russula amethystina","Russula amethystina Quél.","2551549","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula amethystina","Russula amethystina","Quél."
,"Russula aurata","Russula aurata Fr.","2551389","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula aurea","Russula aurata","Fr."
,"Russula azurea","Russula azurea Bres.","2551480","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula azurea","Russula azurea","Bres."
,"Russula badia","Russula badia Quél.","2551171","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula badia","Russula badia","Quél."
,"Boletus luridus","Boletus luridus Schaeff.","7988694","EXACT","97","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Suillellus","Suillellus luridus","Boletus luridus","Schaeff."
,"Russula carpini","Russula carpini R.Girard & Heinem.","2551403","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula carpini","Russula carpini","R.Girard & Heinem."
,"Russula cessans","Russula cessans A.Pearson","2551378","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula cessans","Russula cessans","A.Pearson"
,"Russula cuprea","Russula cuprea Krombh.","9430144","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula cuprea","Russula cuprea","Krombh."
,"Russula curtipes","Russula curtipes F.H.Møller & Jul.Schäff.","8193926","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula curtipes","Russula curtipes","F.H.Møller & Jul.Schäff."
,"Russula cutefracta","Russula cutefracta Cooke","2551545","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula cyanoxantha","Russula cutefracta","Cooke"
,"Russula decipiens","Russula decipiens (Singer) Bon","7955474","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula decipiens","Russula decipiens","(Singer) Bon"
,"Russula decolorans","Russula decolorans (Fr.) Fr.","2551479","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula decolorans","Russula decolorans","(Fr.) Fr."
,"Boletus pinophilus","Boletus pinophilus Pilát & Dermek","5954949","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Boletus pinophilus","Boletus pinophilus","Pilát & Dermek"
,"Russula emetica","Russula emetica (Schaeff.) Pers.","2551213","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula emetica","Russula emetica","(Schaeff.) Pers."
,"Russula emeticicolor","Russula emeticicolor Jul.Schäff.","7469932","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula emeticicolor","Russula emeticicolor","Jul.Schäff."
,"Russula flavoviridis","Russula flavoviridis Romagn.","3359047","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula cyanoxantha","Russula flavoviridis","Romagn."
,"Russula laeta","Russula laeta Jul.Schäff.","8359423","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula laeta","Russula laeta","Jul.Schäff."
,"Russula laurocerasi","Russula laurocerasi Melzer","2551410","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula grata","Russula laurocerasi","Melzer"
,"Russula lepidicolor","Russula lepidicolor Romagn.","2551216","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula lepidicolor","Russula lepidicolor","Romagn."
,"Russula lilacea","Russula lilacea Quél.","2551379","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula lilacea","Russula lilacea","Quél."
,"Russula luteotacta","Russula luteotacta Rea","2551304","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula luteotacta","Russula luteotacta","Rea"
,"Russula maculata","Russula maculata Quél.","2551519","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula maculata","Russula maculata","Quél."
,"Russula melliolens","Russula melliolens Quél.","2551521","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula melliolens","Russula melliolens","Quél."
,"Russula minutula","Russula minutula Velen.","2551176","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula minutula","Russula minutula","Velen."
,"Russula odorata","Russula odorata Romagn.","2551170","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula odorata","Russula odorata","Romagn."
,"Russula paludosa","Russula paludosa Britzelm.","2551201","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula paludosa","Russula paludosa","Britzelm."
,"Boletus queletii","Boletus queletii Schulzer","5954937","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Suillellus","Suillellus queletii","Boletus queletii","Schulzer"
,"Russula pectinata","Russula pectinata Fr.","2551285","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula pectinata","Russula pectinata","Fr."
,"Russula pseudointegra","Russula pseudointegra Arnould & Goris","2551551","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula pseudointegra","Russula pseudointegra","Arnould & Goris"
,"Russula pseudoromellii","Russula pseudoromellii J.Blum ex Bon","7921223","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula pseudoromellii","Russula pseudoromellii","J.Blum ex Bon"
,"Russula puellula","Russula puellula Ebbesen, F.H.Møller & Jul.Schäff.","2551215","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula puellula","Russula puellula","Ebbesen, F.H.Møller & Jul.Schäff."
,"Russula queletii","Russula queletii Fr.","2551558","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula queletii","Russula queletii","Fr."
,"Russula raoultii","Russula raoultii Quél.","2551464","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula raoultii","Russula raoultii","Quél."
,"Russula rhodella","Russula rhodella E.-J.Gilbert","2551596","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula rhodella","Russula rhodella","E.-J.Gilbert"
,"Russula romellii","Russula romellii Maire","2551577","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula romellii","Russula romellii","Maire"
,"Russula roseicolor","Russula roseicolor J.Blum","2551321","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula roseicolor","Russula roseicolor","J.Blum"
,"Boletus reticulatus","Boletus reticulatus Schaeff.","5954691","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Boletus reticulatus","Boletus reticulatus","Schaeff."
,"Russula solaris","Russula solaris Ferd. & Winge","2551329","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula solaris","Russula solaris","Ferd. & Winge"
,"Russula sororia s.s.","Russula sororia (Fr.) Romell","7531434","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sororia","Russula sororia","(Fr.) Romell"
,"Russula sphagnophila","Russula sphagnophila Kauffman","2551271","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sphagnophila","Russula sphagnophila","Kauffman"
,"Russula stenotricha","Russula stenotricha Romagn.","2551186","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula stenotricha","Russula stenotricha","Romagn."
,"Russula subcristulata","Russula subcristulata Romagn.","3360598","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula subcristulata","Russula subcristulata","Romagn."
,"Russula subfoetens","Russula subfoetens W.G.Sm.","8391773","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula subfoetens","Russula subfoetens","W.G.Sm."
,"Russula sublevispora","Russula sublevispora (Romagn.) Kühner & Romagn.","3359741","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sublevispora","Russula sublevispora","(Romagn.) Kühner & Romagn."
,"Russula subterfurcata","Russula subterfurcata Romagn.","2551313","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula subterfurcata","Russula subterfurcata","Romagn."
,"Russula turci","Russula turci Bres.","2551485","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula turci","Russula turci","Bres."
,"Russula versatilis","Russula versatilis Romagn.","2551284","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula versatilis","Russula versatilis","Romagn."
,"Russula veternosa","Russula veternosa Fr.","2551553","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula veternosa","Russula veternosa","Fr."
,"Russula vinosopurpurea","Russula vinosopurpurea Jul.Schäff.","2551440","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula vinosopurpurea","Russula vinosopurpurea","Jul.Schäff."
,"Russula violacea","Russula violacea Quél.","2551442","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula violacea","Russula violacea","Quél."
,"Boletus satanas","Boletus satanas Lenz","5954954","EXACT","97","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Rubroboletus","Rubroboletus satanas","Boletus satanas","Lenz"
,"Sarcodon fuligineoviolaceus","Sarcodon fuligineoviolaceus (Kalchbr.) Pat.","9577567","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Sarcodon","Sarcodon fuligineoviolaceus","Sarcodon fuligineoviolaceus","(Kalchbr.) Pat."
,"Sarcodon imbricatus","Sarcodon imbricatus (L.) P.Karst.","5238865","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Sarcodon","Sarcodon imbricatus","Sarcodon imbricatus","(L.) P.Karst."
,"Sarcodon joeides","Sarcodon joeides (Pass.) Bataille","5238892","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Sarcodon","Sarcodon joeides","Sarcodon joeides","(Pass.) Bataille"
,"Sarcodon lepidus","Sarcodon lepidus Maas Geest.","5238848","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Sarcodon","Sarcodon lepidus","Sarcodon lepidus","Maas Geest."
,"Boletus speciosus","Boletus speciosus Frost","5954908","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Boletus speciosus","Boletus speciosus","Frost"
,"Sarcodon scabrosus","Sarcodon scabrosus (Fr.) P.Karst.","5238871","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Sarcodon","Sarcodon scabrosus","Sarcodon scabrosus","(Fr.) P.Karst."
,"Sarcoscypha austriaca","Sarcoscypha austriaca (Beck ex Sacc.) Boud.","8689016","EXACT","99","ACCEPTED","SPECIES","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha","Sarcoscypha austriaca","Sarcoscypha austriaca","(Beck ex Sacc.) Boud."
,"Sarcoscypha coccinea","Sarcoscypha coccinea (Gray) Boud.","7444343","EXACT","97","ACCEPTED","SPECIES","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha","Sarcoscypha coccinea","Sarcoscypha coccinea","(Gray) Boud."
,"Amanita franchetii","Amanita franchetii (Boud.) Fayod","5240284","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita franchetii","Amanita franchetii","(Boud.) Fayod"
,"Strobilomyces strobilaceus","Strobilomyces strobilaceus (Scop.) Berk.","9225326","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Strobilomyces","Strobilomyces strobilaceus","Strobilomyces strobilaceus","(Scop.) Berk."
,"Suillus flavidus","Suillus flavidus (Fr.) J.Presl","5239900","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus flavidus","Suillus flavidus","(Fr.) J.Presl"
,"Suillus granulatus","Suillus granulatus (L.) Roussel","8146046","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus granulatus","Suillus granulatus","(L.) Roussel"
,"Bovista aestivalis","Bovista aestivalis (Bonord.) Demoulin","2535220","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Bovista","Bovista aestivalis","Bovista aestivalis","(Bonord.) Demoulin"
,"Suillus laricinus","Suillus laricinus (Berk.) Kuntze","5239879","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus viscidus","Suillus laricinus","(Berk.) Kuntze"
,"Suillus placidus","Suillus placidus (Bonord.) Singer","5239925","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus placidus","Suillus placidus","(Bonord.) Singer"
,"Suillus variegatus","Suillus variegatus (Sw.) Richon & Roze","9043861","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus variegatus","Suillus variegatus","(Sw.) Richon & Roze"
,"Trichoglossum hirsutum","Trichoglossum hirsutum (Pers.) Boud.","3484604","EXACT","99","ACCEPTED","SPECIES","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum","Trichoglossum hirsutum","Trichoglossum hirsutum","(Pers.) Boud."
,"Tricholoma acerbum","Tricholoma acerbum (Bull.) Quél.","8038039","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma acerbum","Tricholoma acerbum","(Bull.) Quél."
,"Tricholoma albobrunneum","Tricholoma albobrunneum (Pers.) P.Kumm.","5241725","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma albobrunneum","Tricholoma albobrunneum","(Pers.) P.Kumm."
,"Tricholoma album","Tricholoma album (Schaeff.) P.Kumm.","5241749","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma album","Tricholoma album","(Schaeff.) P.Kumm."
,"Bovista graveolens","Bovista graveolens Schwalb","3333296","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Bovista","Bovista graveolens","Bovista graveolens","Schwalb"
,"Tricholoma atrosquamosum","Tricholoma atrosquamosum Sacc.","7242238","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma atrosquamosum","Tricholoma atrosquamosum","Sacc."
,"Tricholoma columbetta","Tricholoma columbetta (Fr.) P.Kumm.","5241760","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma columbetta","Tricholoma columbetta","(Fr.) P.Kumm."
,"Tricholoma equestre","Tricholoma equestre (L.) P.Kumm.","3324883","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma equestre","Tricholoma equestre","(L.) P.Kumm."
,"Tricholoma imbricatum","Tricholoma imbricatum (Fr.) P.Kumm.","5241858","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma imbricatum","Tricholoma imbricatum","(Fr.) P.Kumm."
,"Tricholoma inamoenum","Tricholoma inamoenum (Fr.) Gillet","5241716","EXACT","97","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma inamoenum","Tricholoma inamoenum","(Fr.) Gillet"
,"Tricholoma lascivum","Tricholoma lascivum (Fr.) Gillet","5241719","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma lascivum","Tricholoma lascivum","(Fr.) Gillet"
,"Tricholoma myomyces","Tricholoma myomyces (Pers.) J.E.Lange","5241804","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma terreum","Tricholoma myomyces","(Pers.) J.E.Lange"
,"Tricholoma pessundatum","Tricholoma pessundatum (Fr.) Quél.","5241789","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma pessundatum","Tricholoma pessundatum","(Fr.) Quél."
,"Tricholoma portentosum","Tricholoma portentosum (Fr.) Quél.","5241860","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma portentosum","Tricholoma portentosum","(Fr.) Quél."
,"Tricholoma psammopus","Tricholoma psammopus (Kalchbr.) Quél.","5241853","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma psammopus","Tricholoma psammopus","(Kalchbr.) Quél."
,"Tricholoma saponaceum","Tricholoma saponaceum (Fr.) P.Kumm.","3324249","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma saponaceum","Tricholoma saponaceum","(Fr.) P.Kumm."
,"Tricholoma sejunctum","Tricholoma sejunctum (Sowerby) Quél.","5241729","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma sejunctum","Tricholoma sejunctum","(Sowerby) Quél."
,"Tricholoma vaccinum","Tricholoma vaccinum (Schaeff.) P.Kumm.","5241784","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma vaccinum","Tricholoma vaccinum","(Schaeff.) P.Kumm."
,"Tricholoma virgatum","Tricholoma virgatum (Fr.) P.Kumm.","5241830","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma virgatum","Tricholoma virgatum","(Fr.) P.Kumm."
,"Tulostoma melanocyclum","Tulostoma melanocyclum Bres.","5243322","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","Tulostoma melanocyclum","Tulostoma melanocyclum","Bres."
,"Verpa conica","Verpa conica (O.F.Müll.) Sw.","5499531","EXACT","99","ACCEPTED","SPECIES","Fungi","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Verpa","Verpa conica","Verpa conica","(O.F.Müll.) Sw."
,"Bovista pusilla","Bovista pusilla (Batsch) Pers.","2535211","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Bovista","Bovista pusilla","Bovista pusilla","(Batsch) Pers."
,"Calvatia utriformis","Calvatia utriformis (Bull.) Jaap","2536118","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Bovistella","Bovistella utriformis","Calvatia utriformis","(Bull.) Jaap"
,"Camarophyllopsis foetens","Camarophyllopsis foetens (W.Phillips) Arnolds","2538341","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Hodophilus","Hodophilus foetens","Camarophyllopsis foetens","(W.Phillips) Arnolds"
,"Camarophyllopsis phaeophylla","Camarophyllopsis phaeophylla (Romagn.) Arnolds","2538384","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Camarophyllopsis","Camarophyllopsis phaeophylla","Camarophyllopsis phaeophylla","(Romagn.) Arnolds"
,"Cantharellus amethysteus","Cantharellus amethysteus (Quél.) Sacc.","5249555","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Cantharellus amethysteus","Cantharellus amethysteus","(Quél.) Sacc."
,"Cantharellus cibarius","Cantharellus cibarius Fr.","5249504","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Cantharellus cibarius","Cantharellus cibarius","Fr."
,"Cantharellus ferruginascens","Cantharellus ferruginascens P.D.Orton","5249494","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Cantharellus ferruginascens","Cantharellus ferruginascens","P.D.Orton"
,"Cantharellus friesii","Cantharellus friesii Quél.","8010163","EXACT","98","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Cantharellus friesii","Cantharellus friesii","Quél."
,"Cantharellus tubaeformis","Cantharellus tubaeformis Fr.","5249537","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus","Craterellus tubaeformis","Cantharellus tubaeformis","Fr."
,"Chalciporus rubinus","Chalciporus rubinus (W.G.Sm.) Singer","2524349","EXACT","98","SYNONYM","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Rubinoboletus","Rubinoboletus rubinus","Chalciporus rubinus","(W.G.Sm.) Singer"
,"Chroogomphus rutilus","Chroogomphus rutilus (Schaeff.) O.K.Mill.","2524996","EXACT","99","ACCEPTED","SPECIES","Fungi","Basidiomycota","Agaricomycetes","Boletales","Gomphidiaceae","Chroogomphus","Chroogomphus rutilus","Chroogomphus rutilus","(Schaeff.) O.K.Mill."
