"","V1","speciesName","relation","taxonKey","GBIFspeciesName","author","taxonLevel","V8","taxonomy","GBIFtaxonomy","taxonomyTaxonlevel","V12","url"
"121",NA,"ASCOCOTYLE (A.) TENUICOLLIS","NONE","","ASCOCOTYLE (A.) TENUICOLLIS","","",NA,"","","",NA,""
"122",NA,"Ascocotyle mollienisicola","NONE","","Ascocotyle mollienisicola","","",NA,"","","",NA,""
"123",NA,"Ascospora erythrostoma","NONE","","Ascospora erythrostoma","","",NA,"","","",NA,""
"124",NA,"Asilidae sp.","NONE","","Asilidae sp.","","",NA,"","","",NA,""
"125",NA,"Asteroma robergii","NONE","","Asteroma robergii","","",NA,"","","",NA,""
"126",NA,"Asterostroma bicolor","NONE","","Asterostroma bicolor","","",NA,"","","",NA,""
"127",NA,"Astylus quadrilineatus","NONE","","Astylus quadrilineatus","","",NA,"","","",NA,""
"128",NA,"Atropa belladonna","NONE","","Atropa belladonna","","",NA,"","","",NA,""
"129",NA,"Aubrieta var.","NONE","","Aubrieta var.","","",NA,"","","",NA,""
"130",NA,"Auerswaldiella nervisequens","NONE","","Auerswaldiella nervisequens","","",NA,"","","",NA,""
"131",NA,"Augochlorella striata","NONE","","Augochlorella striata","","",NA,"","","",NA,""
"132",NA,"Aulographum sarmentorum","NONE","","Aulographum sarmentorum","","",NA,"","","",NA,""
"133",NA,"Aurinia saxatilis","NONE","","Aurinia saxatilis","","",NA,"","","",NA,""
"134",NA,"Australian grapevine","NONE","","Australian grapevine","","",NA,"","","",NA,""
"135",NA,"Australian grapevine viroid","NONE","","Australian grapevine viroid","","",NA,"","","",NA,""
"136",NA,"Autoba brachygonia","NONE","","Autoba brachygonia","","",NA,"","","",NA,""
"137",NA,"Autochton potrillo","NONE","","Autochton potrillo","","",NA,"","","",NA,""
"138",NA,"Autoplusia illustrata","NONE","","Autoplusia illustrata","","",NA,"","","",NA,""
"139",NA,"Avastrovirus 2","NONE","","Avastrovirus 2","","",NA,"","","",NA,""
"140",NA,"Aves polyomavirus 1","NONE","","Aves polyomavirus 1","","",NA,"","","",NA,""
"141",NA,"Avian adeno-associated virus","NONE","","Avian adeno-associated virus","","",NA,"","","",NA,""
"142",NA,"Avian carcinoma Mill Hill virus 2","NONE","","Avian carcinoma Mill Hill virus 2","","",NA,"","","",NA,""
"143",NA,"Avian carcinoma virus","NONE","","Avian carcinoma virus","","",NA,"","","",NA,""
"144",NA,"Avian coronavirus","NONE","","Avian coronavirus","","",NA,"","","",NA,""
"145",NA,"Avian dependoparvovirus 1","NONE","","Avian dependoparvovirus 1","","",NA,"","","",NA,""
"146",NA,"Avian endogenous retrovirus EAV-HP","NONE","","Avian endogenous retrovirus EAV-HP","","",NA,"","","",NA,""
"147",NA,"Avian leukosis virus","NONE","","Avian leukosis virus","","",NA,"","","",NA,""
"148",NA,"Avian metaavulavirus 10","NONE","","Avian metaavulavirus 10","","",NA,"","","",NA,""
"149",NA,"Avian metaavulavirus 11","NONE","","Avian metaavulavirus 11","","",NA,"","","",NA,""
"150",NA,"Avian metaavulavirus 15","NONE","","Avian metaavulavirus 15","","",NA,"","","",NA,""
"151",NA,"Avian metaavulavirus 2","NONE","","Avian metaavulavirus 2","","",NA,"","","",NA,""
"152",NA,"Avian metaavulavirus 6","NONE","","Avian metaavulavirus 6","","",NA,"","","",NA,""
"153",NA,"Avian metaavulavirus 8","NONE","","Avian metaavulavirus 8","","",NA,"","","",NA,""
"154",NA,"Avian metapneumovirus","NONE","","Avian metapneumovirus","","",NA,"","","",NA,""
"155",NA,"Avian myeloblastosis virus","NONE","","Avian myeloblastosis virus","","",NA,"","","",NA,""
"156",NA,"Avian myelocytomatosis virus","NONE","","Avian myelocytomatosis virus","","",NA,"","","",NA,""
"157",NA,"Avian myelocytomatosis virus 29","NONE","","Avian myelocytomatosis virus 29","","",NA,"","","",NA,""
"158",NA,"Avian orthoavulavirus 1","NONE","","Avian orthoavulavirus 1","","",NA,"","","",NA,""
"159",NA,"Avian orthoavulavirus 12","NONE","","Avian orthoavulavirus 12","","",NA,"","","",NA,""
"160",NA,"Avian orthoavulavirus 13","NONE","","Avian orthoavulavirus 13","","",NA,"","","",NA,""
"161",NA,"Avian orthoavulavirus 16","NONE","","Avian orthoavulavirus 16","","",NA,"","","",NA,""
"162",NA,"Avian orthoavulavirus 17","NONE","","Avian orthoavulavirus 17","","",NA,"","","",NA,""
"163",NA,"Avian orthoavulavirus 18","NONE","","Avian orthoavulavirus 18","","",NA,"","","",NA,""
"164",NA,"Avian orthoavulavirus 19","NONE","","Avian orthoavulavirus 19","","",NA,"","","",NA,""
"165",NA,"Avian orthoavulavirus 9","NONE","","Avian orthoavulavirus 9","","",NA,"","","",NA,""
"166",NA,"Avian orthoreovirus","NONE","","Avian orthoreovirus","","",NA,"","","",NA,""
"167",NA,"Avian paramyxovirus 2","NONE","","Avian paramyxovirus 2","","",NA,"","","",NA,""
"168",NA,"Avian paramyxovirus 3","NONE","","Avian paramyxovirus 3","","",NA,"","","",NA,""
"169",NA,"Avian paramyxovirus 4","NONE","","Avian paramyxovirus 4","","",NA,"","","",NA,""
"170",NA,"Avian retrovirus IC10","NONE","","Avian retrovirus IC10","","",NA,"","","",NA,""
"171",NA,"Avian sarcoma virus CT10","NONE","","Avian sarcoma virus CT10","","",NA,"","","",NA,""
"172",NA,"Avihepatovirus A","NONE","","Avihepatovirus A","","",NA,"","","",NA,""
"173",NA,"Avisivirus A","NONE","","Avisivirus A","","",NA,"","","",NA,""
"174",NA,"Avisivirus B","NONE","","Avisivirus B","","",NA,"","","",NA,""
"175",NA,"Avisivirus C","NONE","","Avisivirus C","","",NA,"","","",NA,""
"176",NA,"Avisivirus Pf-CHK1/AsV","NONE","","Avisivirus Pf-CHK1/AsV","","",NA,"","","",NA,""
"177",NA,"Babesciella berbera","NONE","","Babesciella berbera","","",NA,"","","",NA,""
"178",NA,"Babesia bigemina","NONE","","Babesia bigemina","","",NA,"","","",NA,""
"179",NA,"Babesia bovis","NONE","","Babesia bovis","","",NA,"","","",NA,""
"180",NA,"Babesia divergens","NONE","","Babesia divergens","","",NA,"","","",NA,""
"181",NA,"Babesia gibsoni","NONE","","Babesia gibsoni","","",NA,"","","",NA,""
"182",NA,"Babesia major","NONE","","Babesia major","","",NA,"","","",NA,""
"183",NA,"Babesia microti","NONE","","Babesia microti","","",NA,"","","",NA,""
"184",NA,"Babesia occultans","NONE","","Babesia occultans","","",NA,"","","",NA,""
"185",NA,"Babesia odocoilei","NONE","","Babesia odocoilei","","",NA,"","","",NA,""
"186",NA,"Babesia ovata","NONE","","Babesia ovata","","",NA,"","","",NA,""
"187",NA,"Babesia ovis","NONE","","Babesia ovis","","",NA,"","","",NA,""
"188",NA,"Babesia rodhaini","NONE","","Babesia rodhaini","","",NA,"","","",NA,""
"189",NA,"Banna virus","NONE","","Banna virus","","",NA,"","","",NA,""
"190",NA,"Banzi virus","NONE","","Banzi virus","","",NA,"","","",NA,""
"191",NA,"Barmah Forest virus","NONE","","Barmah Forest virus","","",NA,"","","",NA,""
"192",NA,"Bavaria virus","NONE","","Bavaria virus","","",NA,"","","",NA,""
"193",NA,"Bean yellow mosaic virus","NONE","","Bean yellow mosaic virus","","",NA,"","","",NA,""
"194",NA,"Beauveria bassiana polymycovirus 1","NONE","","Beauveria bassiana polymycovirus 1","","",NA,"","","",NA,""
"195",NA,"Beauveria bassiana RNA virus 1","NONE","","Beauveria bassiana RNA virus 1","","",NA,"","","",NA,""
"196",NA,"Beauveria bassiana victorivirus 1","NONE","","Beauveria bassiana victorivirus 1","","",NA,"","","",NA,""
"197",NA,"Beauveria bassiana victorivirus NZL/1980","NONE","","Beauveria bassiana victorivirus NZL/1980","","",NA,"","","",NA,""
"198",NA,"Bee Macula-like virus","NONE","","Bee Macula-like virus","","",NA,"","","",NA,""
"199",NA,"Beet ringspot virus","NONE","","Beet ringspot virus","","",NA,"","","",NA,""
"200",NA,"Bematistes aganice","NONE","","Bematistes aganice","","",NA,"","","",NA,""
"201",NA,"Bembix spinolae","NONE","","Bembix spinolae","","",NA,"","","",NA,""
"202",NA,"Berrimah ephemerovirus","NONE","","Berrimah ephemerovirus","","",NA,"","","",NA,""
"203",NA,"Berrimah virus","NONE","","Berrimah virus","","",NA,"","","",NA,""
"204",NA,"Besnoitia besnoiti","NONE","","Besnoitia besnoiti","","",NA,"","","",NA,""
"205",NA,"Besnoitia oryctofelisi","NONE","","Besnoitia oryctofelisi","","",NA,"","","",NA,""
"206",NA,"Betacoronavirus 1","NONE","","Betacoronavirus 1","","",NA,"","","",NA,""
"207",NA,"Betacoronavirus sp.","NONE","","Betacoronavirus sp.","","",NA,"","","",NA,""
"208",NA,"Bhanja bandavirus","NONE","","Bhanja bandavirus","","",NA,"","","",NA,""
"209",NA,"Bhanja virus","NONE","","Bhanja virus","","",NA,"","","",NA,""
"210",NA,"Biston robustus","NONE","","Biston robustus","","",NA,"","","",NA,""
"211",NA,"Bitter gourd yellow vein virus","NONE","","Bitter gourd yellow vein virus","","",NA,"","","",NA,""
"212",NA,"Black queen cell virus","NONE","","Black queen cell virus","","",NA,"","","",NA,""
"213",NA,"Black raspberry necrosis virus","NONE","","Black raspberry necrosis virus","","",NA,"","","",NA,""
"214",NA,"Blackcurrant reversion virus","NONE","","Blackcurrant reversion virus","","",NA,"","","",NA,""
"215",NA,"Blastocrithidia euschisti","NONE","","Blastocrithidia euschisti","","",NA,"","","",NA,""
"216",NA,"Blastocystis hominis","NONE","","Blastocystis hominis","","",NA,"","","",NA,""
"217",NA,"Blennoria rusci","NONE","","Blennoria rusci","","",NA,"","","",NA,""
"218",NA,"Bluetongue virus","NONE","","Bluetongue virus","","",NA,"","","",NA,""
"219",NA,"Bombus (Thoracobombus) muscorum","NONE","","Bombus (Thoracobombus) muscorum","","",NA,"","","",NA,""
"220",NA,"Bombylius sp.","NONE","","Bombylius sp.","","",NA,"","","",NA,""
"221",NA,"Bonagota cranaodes","NONE","","Bonagota cranaodes","","",NA,"","","",NA,""
"222",NA,"Bonzesmacovirus bovas1","NONE","","Bonzesmacovirus bovas1","","",NA,"","","",NA,""
"223",NA,"Bopivirus A","NONE","","Bopivirus A","","",NA,"","","",NA,""
"224",NA,"Border disease virus","NONE","","Border disease virus","","",NA,"","","",NA,""
"225",NA,"Borna disease virus","NONE","","Borna disease virus","","",NA,"","","",NA,""
"226",NA,"Bos taurus papillomavirus 20","NONE","","Bos taurus papillomavirus 20","","",NA,"","","",NA,""
"227",NA,"Bos taurus polyomavirus 1","NONE","","Bos taurus polyomavirus 1","","",NA,"","","",NA,""
"228",NA,"Bos taurus x Bison bison","NONE","","Bos taurus x Bison bison","","",NA,"","","",NA,""
"229",NA,"Bostasmacovirus bovas1","NONE","","Bostasmacovirus bovas1","","",NA,"","","",NA,""
"230",NA,"Botrychium matricariifolium ex","NONE","","Botrychium matricariifolium ex","","",NA,"","","",NA,""
"231",NA,"Bovicola (bovicola) bovis","NONE","","Bovicola (bovicola) bovis","","",NA,"","","",NA,""
"232",NA,"Bovicola (Bovicola) concavifrons","NONE","","Bovicola (Bovicola) concavifrons","","",NA,"","","",NA,""
"233",NA,"Bovine adenovirus B","NONE","","Bovine adenovirus B","","",NA,"","","",NA,""
"234",NA,"Bovine adenovirus C","NONE","","Bovine adenovirus C","","",NA,"","","",NA,""
"235",NA,"Bovine adenovirus D","NONE","","Bovine adenovirus D","","",NA,"","","",NA,""
"236",NA,"Bovine adenovirus E","NONE","","Bovine adenovirus E","","",NA,"","","",NA,""
"237",NA,"Bovine alphaherpesvirus 1","NONE","","Bovine alphaherpesvirus 1","","",NA,"","","",NA,""
"238",NA,"Bovine Alphaherpesvirus 1","NONE","","Bovine Alphaherpesvirus 1","","",NA,"","","",NA,""
"239",NA,"Bovine alphaherpesvirus 2","NONE","","Bovine alphaherpesvirus 2","","",NA,"","","",NA,""
"240",NA,"Bovine Alphaherpesvirus 2","NONE","","Bovine Alphaherpesvirus 2","","",NA,"","","",NA,""
"241",NA,"Bovine alphaherpesvirus 5","NONE","","Bovine alphaherpesvirus 5","","",NA,"","","",NA,""
"242",NA,"Bovine associated cyclovirus 1","NONE","","Bovine associated cyclovirus 1","","",NA,"","","",NA,""
"243",NA,"Bovine astrovirus","NONE","","Bovine astrovirus","","",NA,"","","",NA,""
"244",NA,"Bovine astrovirus B170/HK","NONE","","Bovine astrovirus B170/HK","","",NA,"","","",NA,""
"245",NA,"Bovine astrovirus B18/HK","NONE","","Bovine astrovirus B18/HK","","",NA,"","","",NA,""
"246",NA,"Bovine astrovirus B76-2/HK","NONE","","Bovine astrovirus B76-2/HK","","",NA,"","","",NA,""
"247",NA,"Bovine astrovirus B76/HK","NONE","","Bovine astrovirus B76/HK","","",NA,"","","",NA,""
"248",NA,"Bovine astrovirus CH13","NONE","","Bovine astrovirus CH13","","",NA,"","","",NA,""
"249",NA,"Bovine astrovirus NeuroS1","NONE","","Bovine astrovirus NeuroS1","","",NA,"","","",NA,""
"250",NA,"Bovine atadenovirus D","NONE","","Bovine atadenovirus D","","",NA,"","","",NA,""
"251",NA,"Bovine atadenovirus E","NONE","","Bovine atadenovirus E","","",NA,"","","",NA,""
"252",NA,"Bovine calicivirus strain Kirklareli","NONE","","Bovine calicivirus strain Kirklareli","","",NA,"","","",NA,""
"253",NA,"Bovine enterovirus","NONE","","Bovine enterovirus","","",NA,"","","",NA,""
"254",NA,"Bovine ephemeral fever virus","NONE","","Bovine ephemeral fever virus","","",NA,"","","",NA,""
"255",NA,"Bovine faeces associated circular DNA virus 1","NONE","","Bovine faeces associated circular DNA virus 1","","",NA,"","","",NA,""
"256",NA,"Bovine faeces associated circular DNA virus 2","NONE","","Bovine faeces associated circular DNA virus 2","","",NA,"","","",NA,""
"257",NA,"Bovine fever ephemerovirus","NONE","","Bovine fever ephemerovirus","","",NA,"","","",NA,""
"258",NA,"Bovine foamy virus","NONE","","Bovine foamy virus","","",NA,"","","",NA,""
"259",NA,"Bovine gammaherpesvirus 4","NONE","","Bovine gammaherpesvirus 4","","",NA,"","","",NA,""
"260",NA,"Bovine Gammaherpesvirus 4","NONE","","Bovine Gammaherpesvirus 4","","",NA,"","","",NA,""
"261",NA,"Bovine gammaherpesvirus 6","NONE","","Bovine gammaherpesvirus 6","","",NA,"","","",NA,""
"262",NA,"Bovine herpesvirus 1","NONE","","Bovine herpesvirus 1","","",NA,"","","",NA,""
"263",NA,"Bovine herpesvirus 2","NONE","","Bovine herpesvirus 2","","",NA,"","","",NA,""
"264",NA,"Bovine herpesvirus 4","NONE","","Bovine herpesvirus 4","","",NA,"","","",NA,""
"265",NA,"Bovine herpesvirus 5","NONE","","Bovine herpesvirus 5","","",NA,"","","",NA,""
"266",NA,"Bovine immunodeficiency virus","NONE","","Bovine immunodeficiency virus","","",NA,"","","",NA,""
"267",NA,"Bovine kobuvirus","NONE","","Bovine kobuvirus","","",NA,"","","",NA,""
"268",NA,"Bovine leukemia virus","NONE","","Bovine leukemia virus","","",NA,"","","",NA,""
