     59 COL:35KW6 | GBIF:4195824	Dichapetalum grayumii	species	Dichapetalum grayumii	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0188	BOLD:AAA0188			Arthropoda	
     55 COL:8MVN | GBIF:3830289 | NCBI:1504160	Abuta panamensis	species	Abuta panamensis	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB2081	BOLD:AAB2081			Arthropoda	
     53 COL:MFJW | GBIF:1340427 | ITIS:714911 | NCBI:85659 | https://www.discoverlife.org/mp/20q?search=Bombus+funebris	Bombus funebris	species	Bombus funebris	Arthropoda	Animalia	visitsFlowersOf	COL:MFJW | GBIF:1340427 | ITIS:714911 | NCBI:85659 | https://www.discoverlife.org/mp/20q?search=Bombus+funebris	Bombus funebris	species	Bombus funebris	Arthropoda	Animalia
     52 GBIF:7649215 | INAT_TAXON:209896 | IRMNG:10200717 | ITIS:31751 | NCBI:246517 | WD:Q3303753	Cordia alliodora	species	Cordia alliodora	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0091	BOLD:AAA0091			Arthropoda	
     52 COL:K8 | GBIF:195 | IRMNG:1469 | ITIS:846521 | NCBI:33103 | PBDB:55084 | WORMS:146216	Ulvophyceae	class		Chlorophyta	Plantae	hasHost	EOL_V2:2942031 | FBC:SLB:SpecCode:87158 | GBIF:4597281 | INAT_TAXON:49121 | IRMNG:10805886 | IRMNG:11805661 | WD:Q3391089 | WORMS:451657 | doi:10.3897/zookeys.197.1728 | doi:10.3897/zookeys.969.52941 | http://taxon-concept.plazi.org/id/Animalia/Plakobranchus_ocellatus_Hasselt_1824 | http://taxon-concept.plazi.org/id/Animalia/Plakobranchus_ocellatus_Hasselt_1924 | http://treatment.plazi.org/id/10CF483BABE8EBECC54F7A4734B48431 | http://treatment.plazi.org/id/A42C12264E2E5FDDB55B973081B12A79	Plakobranchus ocellatus	species	Plakobranchus ocellatus	Mollusca	Animalia
     52 COL:3BFXL | COL:3BFYC | GBIF:3694242 | GBIF:7870294 | GBIF:8874668	Erythroxylum macrophyllum	species	Erythroxylum macrophyllum	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0151	BOLD:AAA0151			Arthropoda	
     51 EOL:3200610 | GBIF:2128492 | INAT_TAXON:384897 | IRMNG:10041893 | WD:Q10399061	Aceria genistae	species	Aceria genistae	Arthropoda	Animalia	eats	NCBI:11292	Lyssavirus rabies	species	Lyssavirus rabies	Negarnaviricota	Orthornavirae
     48 ITIS:157891 | WD:Q249907 | WORMS:149855	Echinacea	superorder		Echinodermata	Animalia	visitsFlowersOf	EOL:1065358 | GBIF:1340409 | INAT_TAXON:120215 | ITIS:714807 | NCBI:207634 | WD:Q2163571 | doi:10.11646/zootaxa.4352.1.1 | doi:10.3897/BDJ.3.e6313 | doi:10.3897/BDJ.6.e24071 | doi:10.3897/BDJ.6.e27161 | http://taxon-concept.plazi.org/id/Animalia/Bombus_griseocollis_DeGeer_1773 | http://taxon-concept.plazi.org/id/Animalia/Bombus_griseocollis_Geer_1773 | http://treatment.plazi.org/id/0392879B735DAB0F43D5FC7CFD6CFA9C | http://treatment.plazi.org/id/0DB43C4BE7BD78A5C3B962E09B3250CF | http://treatment.plazi.org/id/868B867E244F62745509039D2090B004 | http://treatment.plazi.org/id/DAA0BF6902DD239952223DB18FEFE71C | http://treatment.plazi.org/id/E8436A096F6B5A6E3FA5765483434A3D | https://www.discoverlife.org/mp/20q?search=Bombus+griseocollis	Bombus griseocollis	species	Bombus griseocollis	Arthropoda	Animalia
     46 GBIF:7649215 | INAT_TAXON:209896 | IRMNG:10200717 | ITIS:31751 | NCBI:246517 | WD:Q3303753	Cordia alliodora	species	Cordia alliodora	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA1760	BOLD:AAA1760			Arthropoda	
     44 EOL:2586535 | EOL:2955260 | GBIF:1061068 | GBIF:2181959 | IRMNG:10340996 | IRMNG:1458922 | ITIS:1117840 | ITIS:733321 | NCBI:6933 | PBDB:19008 | WD:Q19137 | WD:Q4573411 | WORMS:292684 | doi:10.11646/zootaxa.4768.4.2 | http://taxon-concept.plazi.org/id/Animalia/Acari_Leach_1817 | http://treatment.plazi.org/id/58751718FFE2FFE2FF0DFC0C3D78FA4A	Acari	subclass		Arthropoda	Animalia	parasiteOf	COL:3QGCK | EOL:514822 | GBIF:5174048 | IRMNG:10410214 | ITIS:1117428 | NCBI:393045 | NCBI:458544 | WD:Q10538610 | http://taxon-concept.plazi.org/id/Animalia/Ixodes_dentatus_Marx_1899 | http://treatment.plazi.org/id/C04787D4FFFEFFDAFF07F86561B2C9C3	Bat coronavirus HKU6	species	Bat coronavirus HKU6	Pisuviricota	Orthornavirae
     44 COL:5WVJ5 | GBIF:5421069 | IRMNG:10594586 | IRMNG:11703109 | ITIS:822457 | NCBI:280748 | WD:Q2934367 | WORMS:418707	Calophyllum brasiliense	species	Calophyllum brasiliense	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3594	BOLD:AAA3594			Arthropoda	
     40 GBIF:5393839 | GBIF:7787708 | GBIF:8322495 | GBIF:8745905 | IRMNG:1076854 | IRMNG:1094060 | ITIS:36199 | NCBI:131536 | WD:Q30024	Taraxacum	genus		Tracheophyta	Plantae	visits	GBIF:5393839 | GBIF:7787708 | GBIF:8322495 | GBIF:8745905 | IRMNG:1076854 | IRMNG:1094060 | ITIS:36199 | NCBI:131536 | WD:Q30024	Taraxacum	genus		Tracheophyta	Plantae
