"","sourceSpeciesName","sourcePhylum","sourceKingdom","interactionType","targetSpeciesName","targetPhylum","targetKingdom"
"21101","Phyllactinia guttata","Ascomycota","Fungi","parasiteOf","Fagus sylvatica","Tracheophyta","Plantae"
"21102","Phyllactinia fraxini","Ascomycota","Fungi","interactsWith","Fraxinus excelsior","Tracheophyta","Plantae"
"21103","Hainesia rubi","Ascomycota","Fungi","hasHost","Rubus idaeus","Tracheophyta","Plantae"
"21104","Xylaria filiformis","Ascomycota","Fungi","hasHost","Rubus idaeus","Tracheophyta","Plantae"
"21105","Xylaria filiformis","Ascomycota","Fungi","eats","Castanea sativa","Tracheophyta","Plantae"
"21106","Xylaria carpophila","Ascomycota","Fungi","hasHost","Carpinus betulus","Charophyta","Plantae"
"21107","Xylaria polymorpha","Ascomycota","Fungi","hasHost","Fraxinus excelsior","Magnoliophyta","Plantae"
"21108","Xylaria polymorpha","Ascomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21109","Xylaria longipes","Ascomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21110","Xylaria cubensis","Ascomycota","Fungi","hasHost","Fraxinus excelsior","Tracheophyta","Plantae"
"21111","Hypoxylon fuscum","Ascomycota","Fungi","adjacentTo","Alnus glutinosa","Charophyta","Plantae"
"21112","Hypoxylon investiens","Ascomycota","Fungi","hasHost","Lantana camara","Tracheophyta","Plantae"
"21113","Hypoxylon investiens","Ascomycota","Fungi","hasHost","Robinia pseudoacacia","Tracheophyta","Plantae"
"21114","Hypoxylon investiens","Ascomycota","Fungi","hasHost","Gleditsia triacanthos","Tracheophyta","Plantae"
"21115","Hypoxylon investiens","Ascomycota","Fungi","hasHost","Pseudotsuga menziesii","Tracheophyta","Plantae"
"21116","Hypoxylon fuscopurpureum","Ascomycota","Fungi","hasHost","Carpinus betulus","Charophyta","Plantae"
"21117","Hypoxylon howeanum","Ascomycota","Fungi","hasHost","Quercus robur","Tracheophyta","Plantae"
"21118","Hypoxylon ticinense","Ascomycota","Fungi","interactsWith","Pyrus communis","Tracheophyta","Plantae"
"21119","Hypoxylon cercidicola","Ascomycota","Fungi","interactsWith","Fraxinus excelsior","Tracheophyta","Plantae"
"21120","Hypoxylon fragiforme","Ascomycota","Fungi","interactsWith","Fagus sylvatica","Tracheophyta","Plantae"
"21121","Hypoxylon fragiforme","Ascomycota","Fungi","adjacentTo","Prunus domestica","Tracheophyta","Plantae"
"21122","Hypoxylon fragiforme","Ascomycota","Fungi","adjacentTo","Quercus robur","Tracheophyta","Plantae"
"21123","Hypoxylon perforatum","Ascomycota","Fungi","interactsWith","Fraxinus excelsior","Magnoliophyta","Plantae"
"21124","Diatrypella discoidea","Ascomycota","Fungi","hasHost","Betula pendula","Charophyta","Plantae"
"21125","Truncatella laurocerasi","Ascomycota","Fungi","interactsWith","Rubus idaeus","Tracheophyta","Plantae"
"21126","Truncatella laurocerasi","Ascomycota","Fungi","eats","Rubus idaeus","Tracheophyta","Plantae"
"21127","Libertella betulina","Ascomycota","Fungi","hasHost","Carpinus betulus","Charophyta","Plantae"
"21128","Podospora collapsa","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21129","Podospora globosa","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21130","Podospora setosa","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21131","Podospora setosa","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21132","Podospora gwynne-vaughaniae","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21133","Podospora appendiculata","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21134","Podospora appendiculata","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21135","Podospora communis","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21136","Podospora myriospora","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21137","Podospora myriospora","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21138","Podospora decipiens","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21139","Podospora decipiens","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21140","Podospora granulostriata","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21141","Podospora granulostriata","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21142","Podospora fimiseda","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21143","Podospora fimicola","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21144","Podospora pauciseta","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21145","Podospora pauciseta","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21146","Podospora pleiospora","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21147","Podospora pleiospora","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21148","Podospora intestinacea","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21149","Podospora ellisiana","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21150","Podospora curvicolla","Ascomycota","Fungi","interactsWith","Oryctolagus cuniculus","Chordata","Animalia"
"21151","Cercophora coprophila","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21152","Cercophora mirabilis","Ascomycota","Fungi","interactsWith","Bos taurus","Chordata","Animalia"
"21153","Thyridium vestitum","Ascomycota","Fungi","hasHost","Acer pseudoplatanus","Tracheophyta","Plantae"
"21154","Phomopsis juniperivora","Ascomycota","Fungi","hasHost","Thuja occidentalis","Tracheophyta","Plantae"
"21155","Phomopsis caulographa","Ascomycota","Fungi","eats","Angelica sylvestris","Tracheophyta","Plantae"
"21156","Phomopsis columnaris","Ascomycota","Fungi","hasHost","Hedera helix","Tracheophyta","Plantae"
"21157","Phomopsis sambucina","Ascomycota","Fungi","hasHost","Acer pseudoplatanus","Tracheophyta","Plantae"
"21158","Phomopsis salicina","Ascomycota","Fungi","hasHost","Salix alba","Tracheophyta","Plantae"
"21159","Phomopsis viticola","Ascomycota","Fungi","interactsWith","Vitis vinifera","Tracheophyta","Plantae"
