"","sourceSpeciesName","sourcePhylum","sourceKingdom","interactionType","targetSpeciesName","targetPhylum","targetKingdom"
"1","Avian coronavirus","","","hasHost","Gallus gallus","Chordata","Animalia"
"2","Vespa velutina","Arthropoda","Animalia","eats","Apis mellifera","Arthropoda","Animalia"
"3","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Galleria mellonella","Arthropoda","Animalia"
"4","Escherichia coli","Proteobacteria","","pathogenOf","Gallus gallus","Chordata","Animalia"
"5","Vespa velutina","Arthropoda","Animalia","eats","Vespula vulgaris","Arthropoda","Animalia"
"6","Newcastle disease virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"7","Influenza A virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"8","Mycoplasma gallisepticum","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"9","Escherichia coli","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"10","Infectious bursal disease virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"11","Campylobacter jejuni","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"12","Chicken anemia virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"13","Avian leukosis virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"14","Gallid herpesvirus 2","","","hasHost","Gallus gallus","Chordata","Animalia"
"15","Campylobacter coli","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"16","Gallid herpesvirus 1","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"17","Salmonella enterica","Proteobacteria","","pathogenOf","Gallus gallus","Chordata","Animalia"
"18","Salmonella enterica","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"19","Eimeria tenella","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"20","Clostridium perfringens","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"21","Heterakis vesicularis","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"22","Reticuloendotheliosis virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"23","Avian metapneumovirus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"24","Avian orthoreovirus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"25","Toxoplasma gondii","Myzozoa","Chromista","hasHost","Gallus gallus","Chordata","Animalia"
"26","Rous sarcoma virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"27","Eimeria acervulina","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"28","Clostridium septicum","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"29","Staphylococcus aureus","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"30","Lactobacillus reuteri","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"31","Nosema","Microspora","Fungi","hasHost","Apis mellifera","Arthropoda","Animalia"
"32","Avian myeloblastosis virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"33","Saccharomyces cerevisiae","Ascomycota","Fungi","hasHost","Gallus gallus","Chordata","Animalia"
"34","Fowlpox virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"35","Clostridium novyi","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"36","Escherichia fergusonii","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"37","Mycoplasma synoviae","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"38","Pasteurella multocida","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"39","Ascaridia galli","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"40","Hepatitis E virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"41","Syngamus trachealis","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"42","Heterakis vesicularis","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"43","Vespa velutina","Arthropoda","Animalia","eats","Polietes lardarius","Arthropoda","Animalia"
"44","Beauveria bassiana","Ascomycota","Fungi","hasHost","Brassicogethes aeneus","Arthropoda","Animalia"
"45","Heterakis perspicillum","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"46","Rotavirus D","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"47","Eimeria maxima","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"48","Vespa velutina","Arthropoda","Animalia","eats","Vespula germanica","Arthropoda","Animalia"
"49","Avibacterium paragallinarum","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"50","Enterococcus faecium","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"51","Chicken astrovirus","","","hasHost","Gallus gallus","Chordata","Animalia"
"52","Coronavirus PREDICT_CoV-100","","","hasHost","Gallus gallus","Chordata","Animalia"
"53","Vespa velutina","Arthropoda","Animalia","interactsWith","Pyrus communis","Magnoliophyta","Plantae"
"54","Cryptosporidium baileyi","Miozoa","Chromista","hasHost","Gallus gallus","Chordata","Animalia"
"55","Rotavirus A","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"56","Cheilospirura hamulosa","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"57","Vespa velutina","Arthropoda","Animalia","interactsWith","Hedera helix","Tracheophyta","Plantae"
"58","Gallibacterium anatis","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"59","Menopon gallinae","Arthropoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"60","Plasmodium gallinaceum","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"61","Enterococcus faecalis","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"62","Vespa velutina","Arthropoda","Animalia","interactsWith","Apis mellifera","Arthropoda","Animalia"
"63","Fowl adenovirus E","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"64","Raillietina cesticillus","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"65","Syngamus trachealis","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"66","West Nile virus","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"67","Fowl adenovirus A","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"68","Varroa destructor virus","","","endoparasiteOf","Apis mellifera","Arthropoda","Animalia"
"69","Heterakis perspicillum","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"70","Ascaridia lineata","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"71","Fowl adenovirus C","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"72","Davainea proglottina","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"73","Raillietina echinobothrida","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"74","Clostridium perfringens","Firmicutes","","pathogenOf","Gallus gallus","Chordata","Animalia"
"75","Raillietina tetragona","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"76","Raillietina cesticillus","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"77","Cheilospirura hamulosa","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"78","Posthodiplostomum minimum","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"79","Capillaria annulata","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"80","Heterakis gallinae","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"81","Ornithobacterium rhinotracheale","Bacteroidetes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"82","Vespa velutina","Arthropoda","Animalia","visitsFlowersOf","Hedera helix","Tracheophyta","Plantae"
"83","Nosema","Microspora","Fungi","hasHost","Merops apiaster","Chordata","Animalia"
"84","Campylobacter jejuni","Proteobacteria","","pathogenOf","Gallus gallus","Chordata","Animalia"
"85","Vespa velutina","Arthropoda","Animalia","eats","Sarcophaga variegata","Arthropoda","Animalia"
"86","Ascaridia lineata","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"87","Fowl adenovirus D","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"88","Davainea proglottina","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"89","Vespa velutina","Arthropoda","Animalia","eats","Pollenia rudis","Arthropoda","Animalia"
"90","Raillietina echinobothrida","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"91","Trypanosoma cruzi","","","hasHost","Gallus gallus","Chordata","Animalia"
"92","Heterakis gallinarum","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"93","Hymenolepis cantaniana","","","hasHost","Gallus gallus","Chordata","Animalia"
"94","Mycoplasma gallisepticum","Tenericutes","","pathogenOf","Gallus gallus","Chordata","Animalia"
"95","Rotavirus F","","","hasHost","Gallus gallus","Chordata","Animalia"
"96","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Leptinotarsa decemlineata","Arthropoda","Animalia"
"97","Amoebotaenia sphenoides","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"98","Ascaridia perspicillum","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"99","Bubo virginianus","Chordata","Animalia","eats","Gallus gallus","Chordata","Animalia"
"100","Lactobacillus salivarius","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"101","Oxyspirura mansoni","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"102","Choanotaenia infundibulum","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"103","Choanotaenia infundibulum","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"104","Leptinotarsa decemlineata","Arthropoda","Animalia","eats","Solanum lycopersicum","Tracheophyta","Plantae"
"105","Pseudomonas aeruginosa","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"106","Ascaridia galli","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"107","Eimeria necatrix","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"108","Capillaria annulata","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"109","Vespa velutina","Arthropoda","Animalia","eats","Eristalis pertinax","Arthropoda","Animalia"
"110","Enterococcus hirae","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"111","RAILLIETINA (R.) TETRAGONA","","","parasiteOf","Gallus gallus","Chordata","Animalia"
"112","Heterakis gallinae","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"113","Shigella boydii","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"114","Ascaridia perspicillum","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"115","Candida albicans","Ascomycota","Fungi","pathogenOf","Gallus gallus","Chordata","Animalia"
"116","Posthodiplostomum minimum","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"117","Enterococcus durans","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"118","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Lymantria dispar","Arthropoda","Animalia"
"119","Eimeria brunetti","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"120","Tetrameres americana","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"121","Oxyspirura mansoni","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"122","Lipeurus caponis","Arthropoda","Animalia","interactsWith","Gallus gallus","Chordata","Animalia"
"123","Menopon gallinae","Arthropoda","Animalia","interactsWith","Gallus gallus","Chordata","Animalia"
"124","Tetrameres americana","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"125","Vespa velutina","Arthropoda","Animalia","interactsWith","Ficus carica","Magnoliophyta","Plantae"
"126","Vespa velutina","Arthropoda","Animalia","eats","Eristalis tenax","Arthropoda","Animalia"
"127","Dermanyssus gallinae","Arthropoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"128","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Cydia pomonella","Arthropoda","Animalia"
"129","Menacanthus pallidulus","Arthropoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"130","Vespa velutina","Arthropoda","Animalia","eats","Araneus diadematus","Arthropoda","Animalia"
"131","Eimeria mitis","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"132","Vespa velutina","Arthropoda","Animalia","eats","Sarcophaga carnaria","Arthropoda","Animalia"
"133","Echinostoma revolutum","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"134","Hymenolepis cantaniana","","","parasiteOf","Gallus gallus","Chordata","Animalia"
"135","Amoebotaenia sphenoides","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"136","Vespa velutina","Arthropoda","Animalia","eats","Chrysomya albiceps","Arthropoda","Animalia"
"137","Duck adenovirus A","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"138","Histomonas meleagridis","Sarcomastigophora","Protozoa","hasHost","Gallus gallus","Chordata","Animalia"
"139","Capillaria retusa","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"140","Gongylonema ingluvicola","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"141","Choanotaenia infundibuliformis","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"142","Vespa velutina","Arthropoda","Animalia","eats","Episyrphus balteatus","Arthropoda","Animalia"
"143","Avibacterium gallinarum","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"144","Gongylonema ingluvicola","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"145","Vespa velutina","Arthropoda","Animalia","eats","Lucilia caesar","Arthropoda","Animalia"
"146","Avian paramyxovirus 2","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"147","Brachyspira innocens","Spirochaetes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"148","Beauveria bassiana","Ascomycota","Fungi","hasHost","Agrilus planipennis","Arthropoda","Animalia"
"149","Heterakis indica","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"150","Capillaria columbae","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"151","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Phaseolus vulgaris","Streptophyta","Viridiplantae"
"152","Vespa velutina","Arthropoda","Animalia","interactsWith","Fagus sylvatica","Tracheophyta","Plantae"
"153","Leptinotarsa decemlineata","Arthropoda","Animalia","eats","Atropa belladonna","Tracheophyta","Plantae"
"154","Leptinotarsa decemlineata","Arthropoda","Animalia","eats","Nicotiana tabacum","Tracheophyta","Plantae"
"155","Leptinotarsa decemlineata","Arthropoda","Animalia","eats","Solanum tuberosum","Tracheophyta","Plantae"
"156","Erysipelothrix rhusiopathiae","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"157","Brachyspira intermedia","Spirochaetes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"158","Eimeria praecox","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"159","Cryptosporidium meleagridis","Miozoa","Chromista","hasHost","Gallus gallus","Chordata","Animalia"
"160","Vespa velutina","Arthropoda","Animalia","eats","Vitis vinifera","Tracheophyta","Plantae"
"161","Vespa velutina","Arthropoda","Animalia","eats","Calliphora vicina","Arthropoda","Animalia"
"162","Tetratrichomonas gallinarum","","","hasHost","Gallus gallus","Chordata","Animalia"
"163","Shigella flexneri","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"164","Cryptosporidium parvum","Apicomplexa","Protozoa","hasHost","Gallus gallus","Chordata","Animalia"
"165","Klebsiella pneumoniae","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"166","Neospora caninum","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"167","Pigeon-dominant Coronavirus","Pisuviricota","Orthornavirae","hasHost","Gallus gallus","Chordata","Animalia"
"168","Strongyloides avium","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"169","Strongyloides avium","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"170","Dispharynx spiralis","","","parasiteOf","Gallus gallus","Chordata","Animalia"
"171","Dispharynx spiralis","","","hasHost","Gallus gallus","Chordata","Animalia"
"172","Vespa velutina","Arthropoda","Animalia","interactsWith","Prunus domestica","Tracheophyta","Plantae"
"173","Vespa velutina","Arthropoda","Animalia","eats","Lucilia sericata","Arthropoda","Animalia"
"174","Lactobacillus crispatus","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"175","Methanobrevibacter woesei","Euryarchaeota","Archaea","hasHost","Gallus gallus","Chordata","Animalia"
"176","Goniocotes gallinae","Arthropoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"177","Beauveria bassiana","Ascomycota","Fungi","hasHost","Homo sapiens","Chordata","Animalia"
"178","Choanotaenia infundibuliformis","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"179","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Spodoptera exigua","Arthropoda","Animalia"
"180","Vespa velutina","Arthropoda","Animalia","eats","Alydus calcaratus","Arthropoda","Animalia"
"181","Vespa velutina","Arthropoda","Animalia","eats","Scathophaga stercoraria","Arthropoda","Animalia"
"182","Echinostoma revolutum","Platyhelminthes","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"183","Brachyspira pilosicoli","Spirochaetes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"184","Lipeurus caponis","Arthropoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"185","Menacanthus stramineus","Arthropoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"186","Heterakis beramporia","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"187","Capillaria retusa","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"188","Metroliasthes lucida","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"189","Prosthogonimus macrorchis","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"190","Leucochloridium variae","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"191","Varroa destructor","Arthropoda","Animalia","ectoparasiteOf","Apis mellifera","Arthropoda","Animalia"
"192","Vespa velutina","Arthropoda","Animalia","interactsWith","Symphoricarpos albus","Tracheophyta","Plantae"
"193","Vespa velutina","Arthropoda","Animalia","eats","Ficus carica","Magnoliophyta","Plantae"
"194","Bacteroides salanitronis","Bacteroidetes","","hasHost","Gallus gallus","Chordata","Animalia"
"195","Ostrinia nubilalis","Arthropoda","Animalia","eats","Chrysanthemum morifolium","Tracheophyta","Plantae"
"196","Ostrinia nubilalis","Arthropoda","Animalia","eats","Rheum rhaponticum","Tracheophyta","Plantae"
"197","Ostrinia nubilalis","Arthropoda","Animalia","eats","Gossypium hirsutum","Tracheophyta","Plantae"
"198","Ostrinia nubilalis","Arthropoda","Animalia","eats","Apium graveolens","Tracheophyta","Plantae"
"199","Ostrinia nubilalis","Arthropoda","Animalia","eats","Solanum tuberosum","Tracheophyta","Plantae"
"200","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Ostrinia nubilalis","Arthropoda","Animalia"
"201","Beauveria bassiana","Ascomycota","Fungi","hasHost","Thaumetopoea pityocampa","Arthropoda","Animalia"
"202","Chicken enteric coronavirus","Pisuviricota","Orthornavirae","hasHost","Gallus gallus","Chordata","Animalia"
"203","Capillaria columbae","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"204","Cytodites nudus","Arthropoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"205","Vespa velutina","Arthropoda","Animalia","interactsWith","Passiflora caerulea","Tracheophyta","Plantae"
"206","Vespa velutina","Arthropoda","Animalia","eats","Mallota florea","Arthropoda","Animalia"
"207","Menacanthus stramineus","Arthropoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"208","Fowl adenovirus B","","Viruses","hasHost","Gallus gallus","Chordata","Animalia"
"209","Lactobacillus agilis","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"210","Enterococcus casseliflavus","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"211","Streptococcus pluranimalium","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"212","Enterobacter cloacae","Bacteria","Monera","hasHost","Gallus gallus","Chordata","Animalia"
"213","Nosema","Microspora","Fungi","hasHost","Apis cerana","Arthropoda","Animalia"
"214","Argas miniatus","Arthropoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"215","Heterakis gallinarum","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"216","Beauveria bassiana","Ascomycota","Fungi","hasHost","Ostrinia nubilalis","Arthropoda","Animalia"
"217","Capillaria caudinflata","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"218","Euamphimerus palawanensis","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"219","Acuaria kinsellai","Nematoda","Animalia","hasHost","Dicrurus macrocercus","Chordata","Animalia"
"220","Heterakis indica","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"221","Apophallus microsoma","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"222","Ascaridia styphlocerca","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"223","Oxylipeurus dentatus","Arthropoda","Animalia","interactsWith","Gallus gallus","Chordata","Animalia"
"224","Cuculus micropterus","Chordata","Animalia","hasHost","Dicrurus macrocercus","Chordata","Animalia"
"225","Avibacterium paragallinarum","Proteobacteria","","pathogenOf","Gallus gallus","Chordata","Animalia"
"226","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Pieris brassicae","Arthropoda","Animalia"
"227","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Tribolium castaneum","Arthropoda","Animalia"
"228","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Sitophilus oryzae","Arthropoda","Animalia"
"229","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Riptortus pedestris","Arthropoda","Animalia"
"230","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Bombyx mori","Arthropoda","Animalia"
"231","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Plutella xylostella","Arthropoda","Animalia"
"232","Vespa velutina","Arthropoda","Animalia","preysOn","Paragus haemorrhous","Arthropoda","Animalia"
"233","Listeria monocytogenes","Firmicutes","","pathogenOf","Gallus gallus","Chordata","Animalia"
"234","Syngamus trachea","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"235","Hypoderaeum conoideum","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"236","Prosthogonimus ovatus","Platyhelminthes","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"237","Trypanosoma gallinarum","","","hasHost","Gallus gallus","Chordata","Animalia"
"238","Buteo jamaicensis","Chordata","Animalia","eats","Gallus gallus","Chordata","Animalia"
"239","Mycoplasma iowae","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"240","Brachyspira murdochii","Spirochaetes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"241","Trichostrongylus tenuis","Nematoda","Animalia","hasHost","Gallus gallus","Chordata","Animalia"
"242","Argas persicus","Arthropoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"243","Dermanyssus gallinae","Arthropoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"244","Aeromonas hydrophila","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"245","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Sitona discoideus","Arthropoda","Animalia"
"246","Beauveria bassiana","Ascomycota","Fungi","pathogenOf","Hypothenemus hampei","Arthropoda","Animalia"
"247","Beauveria bassiana","Ascomycota","Fungi","hasHost","Leptinotarsa decemlineata","Arthropoda","Animalia"
"248","Laminosioptes cysticola","Arthropoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"249","Alphitobius diaperinus","Arthropoda","Animalia","interactsWith","Gallus gallus","Chordata","Animalia"
"250","Menopon gallinae","Arthropoda","Animalia","ectoparasiteOf","Gallus gallus","Chordata","Animalia"
"251","Staphylococcus aureus","Firmicutes","","pathogenOf","Gallus gallus","Chordata","Animalia"
"252","Beauveria bassiana","Ascomycota","Fungi","hasHost","Blissus leucopterus","Arthropoda","Animalia"
"253","Varroa destructor","Arthropoda","Animalia","parasiteOf","Apis mellifera","Arthropoda","Animalia"
"254","Vespa velutina","Arthropoda","Animalia","visitsFlowersOf","Foeniculum vulgare","Tracheophyta","Plantae"
"255","Vespa velutina","Arthropoda","Animalia","visitsFlowersOf","Eriobotrya japonica","Tracheophyta","Plantae"
"256","Vespa velutina","Arthropoda","Animalia","preysOn","Melanostoma mellinum","Arthropoda","Animalia"
"257","Vespa velutina","Arthropoda","Animalia","preysOn","Paragus pecchiolii","Arthropoda","Animalia"
"258","Vespa velutina","Arthropoda","Animalia","preysOn","Apis mellifera","Arthropoda","Animalia"
"259","Vespa velutina","Arthropoda","Animalia","interactsWith","Rubus fruticosus","Tracheophyta","Plantae"
"260","Vespa velutina","Arthropoda","Animalia","eats","Mantis religiosa","Arthropoda","Animalia"
"261","Vespa velutina","Arthropoda","Animalia","eats","Panorpa communis","Arthropoda","Animalia"
"262","Vespa velutina","Arthropoda","Animalia","eats","Cheilosia tarditas","Arthropoda","Animalia"
"263","Vespa velutina","Arthropoda","Animalia","eats","Hydrotaea cyrtoneurina","Arthropoda","Animalia"
"264","Vespa velutina","Arthropoda","Animalia","eats","Mesembrina meridiana","Arthropoda","Animalia"
"265","Vespa velutina","Arthropoda","Animalia","eats","Calliphora vomitoria","Arthropoda","Animalia"
"266","Vespa velutina","Arthropoda","Animalia","eats","Ectophasia crassipennis","Arthropoda","Animalia"
"267","Syngamus trachea","Nematoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"268","Ornithonyssus sylviarum","Arthropoda","Animalia","parasiteOf","Gallus gallus","Chordata","Animalia"
"269","Mycobacterium avium","Actinobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"270","Brachyspira pulli","Spirochaetes","","hasHost","Gallus gallus","Chordata","Animalia"
"271","Plasmodium juxtanucleare","Apicomplexa","","hasHost","Gallus gallus","Chordata","Animalia"
"272","Lactobacillus fermentum","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"273","Enterococcus gallinarum","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"274","Enterococcus avium","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"275","Mycoplasma gallinarum","Firmicutes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"276","Serpulina alvinipulli","Spirochaetes","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"277","Proteus mirabilis","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
"278","Escherichia albertii","Proteobacteria","Bacteria","hasHost","Gallus gallus","Chordata","Animalia"
