"x"
"Aegopodium podagraria"
"Lactuca serriola"
"Cymbalaria muralis"
"Galinsoga quadriradiata"
"Cossus cossus"
"Dipsacus pilosus"
"Lycopus europaeus"
"Hylobius (Callirus) abietis"
"Arctium tomentosum"
"Plantago media"
"Verbascum blattaria"
"Parnassia palustris"
"Euphorbia cyparissias"
"Nymphaea alba"
"Galium odoratum"
"Pteridium aquilinum"
"Dianthus carthusianorum"
"Cirsium oleraceum"
"Butomus umbellatus"
"Daphne mezereum"
"Gentiana asclepiadea"
"Lathraea squamaria"
"Ailanthus altissima"
"Ambrosia artemisiifolia"
"Cornus mas"
"Symphytum officinale"
"Lepidium draba"
"Crambe maritima"
"Betonica officinalis"
"Vinca minor"
"Tettigonia viridissima"
"Oxythyrea funesta"
"Securigera varia"
"Viola tricolor"
"Saponaria officinalis"
"Datura stramonium"
"Nymphoides peltata"
"Impatiens balfourii"
"Epipactis palustris"
"Genista sagittalis"
"Inula helenium"
"Mimas tiliae"
"Calliptamus italicus"
"Euphorbia marginata"
"Plantago major"
"Echinocystis lobata"
"Galanthus nivalis"
"Filipendula vulgaris"
"Sus scrofa"
"Phytolacca americana"
"Hylobius abietis"
"Diplazon laetatorius"
"Acer negundo"
"Canis lupus"
"Ursus arctos"
"Lithospermum purpurocaeruleum"
"Genista tinctoria"
"Saxifraga aizoides"
"Solanum dulcamara"
"Tragopogon pratensis"
"Nuphar lutea"
"Rhinanthus minor"
"Anacamptis morio"
"Silene acaulis"
"Silene flos-cuculi"
"Conops flavipes"
"Rabelera holostea"
"Oxalis acetosella"
"Artemisia vulgaris"
"Cassiope tetragona"
"Narcissus poeticus"
"Muscari comosum"
"Philanthus triangulum"
"Andromeda polifolia"
"Abutilon theophrasti"
"Chenopodium spathulatum"
"Stachys arvensis"
"Bubo bubo"
"Corvus corax"
"Aquila chrysaetos"
"Martes martes"
"Vulpes vulpes"
"Strix uralensis"
"Cynips quercusfolii"
"Myathropa florea"
"Canis aureus"
"Schizophyllum commune"
"Celastrina argiolus"
"Maniola jurtina"
"Scolia hirta"
"Argynnis paphia"
"Favonius quercus"
"Propylaea quatuordecimpunctata"
"Bubulcus ibis"
"Halyomorpha halys"
"Aglais io"
"Elasmucha grisea"
"Leptotes pirithous"
"Eristalinus aeneus"
"Trametes versicolor"
"Graphosoma italicum"
"Harmonia axyridis"
"Brintesia circe"
"Dasycera oliviella"
"Pica pica"
"Cyanistes caeruleus"
"Parus major"
"Carduelis carduelis"
"Prionus coriarius"
"Coccinella septempunctata"
"Piezodorus lituratus"
"Lymantria dispar"
"Bombus pascuorum"
"Sylvia borin"
"Oriolus oriolus"
"Oudemansiella mucida"
"Coloeus monedula"
"Satyrium ilicis"
"Cerambyx cerdo"
"Phalera bucephala"
"Empusa fasciata"
"Camptogramma bilineata"
"Halyzia sedecimguttata"
"Malva neglecta"
"Xanthoria parietina"
"Sitta europaea"
"Psittacula krameri"
"Dendrocopos major"
"Nezara viridula"
"Hipparchia statilinus"
"Meconema thalassinum"
"Hemipenthes morio"
"Chloromyia formosa"
"Sylvia communis"
"Poecile palustris"
"Phoenicurus phoenicurus"
"Ficedula hypoleuca"
"Stercorarius parasiticus"
"Mustela eversmanii"
"Vormela peregusna"
"Martes foina"
"Mustela erminea"
"Chrysomela aenea"
"Anoplodera sexguttata"
"Peribalus strictus"
"Acanthosoma haemorrhoidale"
"Chloris chloris"
"Lanius excubitor"
"Capreolus capreolus"
"Loranthus europaeus"
"Scopula ornata"
"Stauropus fagi"
"Macrophya annulata"
"Palomena prasina"
"Leptura quadrifasciata"
"Rhagonycha fulva"
"Vanessa cardui"
"Fomitopsis pinicola"
"Fistulina hepatica"
"Emberiza cia"
"Lophophanes cristatus"
"Periparus ater"
"Dryobates minor"
"Muscardinus avellanarius"
"Philaeus chrysops"
"Deraeocoris ruber"
"Aricia agestis"
"Polygonia c-album"
"Peridea anceps"
"Poecilocampa populi"
"Pezotettix giornae"
"Phaneroptera nana"
"Conocephalus dorsalis"
"Hemipenthes velutina"
"Volucella pellucens"
"Baccha elongata"
"Sympetrum sanguineum"
"Exochomus quadripustulatus"
"Coccothraustes coccothraustes"
"Corvus frugilegus"
"Aegithalos caudatus"
"Otis tarda"
"Vipera ammodytes"
"Vipera berus"
"Emberiza schoeniclus"
"Loxia curvirostra"
"Lanius senator"
"Grus grus"
"Falco subbuteo"
"Falco tinnunculus"
"Circus cyaneus"
"Buteo lagopus"
"Burhinus oedicnemus"
"Buteo buteo"
"Circus macrourus"
"Rhagium mordax"
"Platycheirus scutatus"
"Leucoma salicis"
"Xylocopa violacea"
"Anaglyptus mysticus"
"Alosterna tabacicolor"
"Felis silvestris"
"Meles meles"
"Locustella naevia"
"Plemyria rubiginata"
"Ischnura elegans"
"Libellula depressa"
"Pisaura mirabilis"
"Centrotus cornutus"
"Ganoderma sessile"
"Caucasotachea vindobonensis"
"Sciurus vulgaris"
"Eristalis lineata"
"Argynnis pandora"
"Physcia adscendens"
"Ephemera lineata"
"Spinus spinus"
"Rhaphigaster nebulosa"
"Dorcus parallelipipedus"
"Myodes glareolus"
"Picea abies"
"Amanita phalloides"
"Troglodytes troglodytes"
"Passer domesticus"
