"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"9428",3020532,"Comarum palustre L.","Comarum palustre","SPECIES","ACCEPTED",100,"EXACT","Plantae","Comarum palustre",6,3020532,"Comarum palustre","Plantae"
"9429",3015560,"Crataegus submollis Sarg.","Crataegus submollis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Crataegus submollis",6,3015560,"Crataegus submollis","Plantae"
"9430",9220780,"Crataegus monogyna Jacq.","Crataegus monogyna","SPECIES","ACCEPTED",99,"EXACT","Plantae","Crataegus monogyna",6,9220780,"Crataegus monogyna","Plantae"
"9431",3012167,"Sorbus aucuparia L.","Sorbus aucuparia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Sorbus aucuparia",6,3012167,"Sorbus aucuparia","Plantae"
"9432",3003708,"Rosa dumalis Bechst.","Rosa dumalis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Rosa dumalis",6,3003708,"Rosa dumalis","Plantae"
"9433",3001660,"Malus ×florentina (Zuccagni) C.K.Schneid.","Malus florentina","SPECIES","SYNONYM",100,"EXACT","Plantae","Tormimalus florentina",6,2987819,"Malus florentina","Plantae"
"9434",3001166,"Malus coronaria (L.) Mill.","Malus coronaria","SPECIES","ACCEPTED",100,"EXACT","Plantae","Malus coronaria",6,3001166,"Malus coronaria","Plantae"
"9435",2995209,"Rubus caesius L.","Rubus caesius","SPECIES","ACCEPTED",99,"EXACT","Plantae","Rubus caesius",6,2995209,"Rubus caesius","Plantae"
"9436",2990382,"Rubus acanthophyllos Focke","Rubus acanthophyllos","SPECIES","ACCEPTED",100,"EXACT","Plantae","Rubus acanthophyllos",6,2990382,"Rubus acanthophyllos","Plantae"
"9437",2989228,"Rubus pubescens Raf.","Rubus pubescens","SPECIES","ACCEPTED",99,"EXACT","Plantae","Rubus pubescens",6,2989228,"Rubus pubescens","Plantae"
"9438",2992808,"Rubus saxatilis L.","Rubus saxatilis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Rubus saxatilis",6,2992808,"Rubus saxatilis","Plantae"
"9439",2987999,"Filipendula ulmaria (L.) Maxim.","Filipendula ulmaria","SPECIES","ACCEPTED",99,"EXACT","Plantae","Filipendula ulmaria",6,2987999,"Filipendula ulmaria","Plantae"
