"","X","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"729",14852,3802655,"Atropa belladonna L.","Atropa belladonna","SPECIES","ACCEPTED",100,"EXACT","Plantae","Atropa belladonna",6,3802655,"Atropa belladonna","Plantae"
"730",14861,1831136,"Plutella xylostella (Linnaeus, 1767)","Plutella xylostella","SPECIES","ACCEPTED",100,"EXACT","Animalia","Plutella xylostella",1,1831136,"Plutella xylostella","Animalia"
"731",14863,5742495,"Panorpa communis Linnaeus, 1758","Panorpa communis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Panorpa communis",1,5742495,"Panorpa communis","Animalia"
"732",14879,1045843,"Tenebrio molitor Linnaeus, 1758","Tenebrio molitor","SPECIES","ACCEPTED",100,"EXACT","Animalia","Tenebrio molitor",1,1045843,"Tenebrio molitor","Animalia"
"733",14895,7626513,"Emberiza cirlus Linnaeus, 1767","Emberiza cirlus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Emberiza cirlus",1,7626513,"Emberiza cirlus","Animalia"
"734",14902,1703254,"Calliptamus italicus (Linnaeus, 1758)","Calliptamus italicus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Calliptamus italicus",1,1703254,"Calliptamus italicus","Animalia"
"735",14904,1048497,"Diabrotica virgifera LeConte, 1868","Diabrotica virgifera","SPECIES","DOUBTFUL",99,"EXACT","Animalia","Diabrotica virgifera",1,1048497,"Diabrotica virgifera","Animalia"
"736",14922,8771236,"Carpocapsa pomonella (Linnaeus, 1758)","Carpocapsa pomonella","SPECIES","SYNONYM",98,"EXACT","Animalia","Cydia pomonella",1,1737847,"Carpocapsa pomonella",""
"737",14928,2431776,"Salamandra salamandra (Linnaeus, 1758)","Salamandra salamandra","SPECIES","ACCEPTED",100,"EXACT","Animalia","Salamandra salamandra",1,2431776,"Salamandra salamandra","Animalia"
"738",14929,2492509,"Tarsiger cyanurus (Pallas, 1773)","Tarsiger cyanurus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Tarsiger cyanurus",1,2492509,"Tarsiger cyanurus","Animalia"
"739",14936,5754974,"Anchomenus dorsalis (Pontoppidan, 1763)","Anchomenus dorsalis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Anchomenus dorsalis",1,5754974,"Anchomenus dorsalis","Animalia"
"740",14943,4470765,"Carabus violaceus Linnaeus, 1758","Carabus violaceus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Carabus violaceus",1,4470765,"Carabus violaceus","Animalia"
"741",14986,1535899,"Chrysotoxum octomaculatum Curtis, 1837","Chrysotoxum octomaculatum","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chrysotoxum octomaculatum",1,1535899,"Chrysotoxum octomaculatum","Animalia"
"742",15017,9185677,"Podarcis siculus (Rafinesque-Schmaltz, 1810)","Podarcis siculus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Podarcis siculus",1,9185677,"Podarcis siculus","Animalia"
"743",15025,7872906,"Talpa europaea Linnaeus, 1758","Talpa europaea","SPECIES","ACCEPTED",100,"EXACT","Animalia","Talpa europaea",1,7872906,"Talpa europaea","Animalia"
"744",15028,6161327,"Natrix tessellata (Laurenti, 1768)","Natrix tessellata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Natrix tessellata",1,6161327,"Natrix tessellata","Animalia"
"745",15038,2469188,"Podarcis muralis (Laurenti, 1768)","Podarcis muralis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Podarcis muralis",1,2469188,"Podarcis muralis","Animalia"
"746",15048,2468945,"Eremias arguta (Pallas, 1773)","Eremias arguta","SPECIES","ACCEPTED",100,"EXACT","Animalia","Eremias arguta",1,2468945,"Eremias arguta","Animalia"
"747",15059,2468799,"Darevskia praticola (Eversmann, 1834)","Darevskia praticola","SPECIES","ACCEPTED",100,"EXACT","Animalia","Darevskia praticola",1,2468799,"Darevskia praticola","Animalia"
"748",15080,2427573,"Hyla arborea (Linnaeus, 1758)","Hyla arborea","SPECIES","ACCEPTED",100,"EXACT","Animalia","Hyla arborea",1,2427573,"Hyla arborea","Animalia"
"749",15082,2426805,"Rana temporaria Linnaeus, 1758","Rana temporaria","SPECIES","ACCEPTED",100,"EXACT","Animalia","Rana temporaria",1,2426805,"Rana temporaria","Animalia"
"750",15095,2473958,"Perdix perdix (Linnaeus, 1758)","Perdix perdix","SPECIES","ACCEPTED",100,"EXACT","Animalia","Perdix perdix",1,2473958,"Perdix perdix","Animalia"
"751",15100,2469065,"Podarcis tauricus (Pallas, 1814)","Podarcis tauricus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Podarcis tauricus",1,2469065,"Podarcis tauricus","Animalia"
"752",15102,9702100,"Zootoca vivipara (Lichtenstein, 1823)","Zootoca vivipara","SPECIES","ACCEPTED",99,"EXACT","Animalia","Zootoca vivipara",1,9702100,"Zootoca vivipara","Animalia"
"753",15103,2468095,"Anguis fragilis Linnaeus, 1758","Anguis fragilis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Anguis fragilis",1,2468095,"Anguis fragilis","Animalia"
"754",15104,2426661,"Pelophylax ridibundus (Pallas, 1771)","Pelophylax ridibundus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Pelophylax ridibundus",1,2426661,"Pelophylax ridibundus","Animalia"
"755",15128,9148577,"Alnus incana (L.) Moench","Alnus incana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Alnus incana",6,9148577,"Alnus incana","Plantae"
"756",15230,2020655,"Corythucha ciliata (Say, 1832)","Corythucha ciliata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Corythucha ciliata",1,2020655,"Corythucha ciliata","Animalia"
"757",15282,4990995,"Melolontha melolontha (Linnaeus, 1758)","Melolontha melolontha","SPECIES","ACCEPTED",100,"EXACT","Animalia","Melolontha melolontha",1,4990995,"Melolontha melolontha","Animalia"
"758",15307,1876329,"Myelois circumvoluta Fourcroy, 1785","Myelois circumvoluta","SPECIES","ACCEPTED",99,"EXACT","Animalia","Myelois circumvoluta",1,1876329,"Myelois circumvoluta","Animalia"
"759",15345,3170247,"Asclepias syriaca L.","Asclepias syriaca","SPECIES","ACCEPTED",99,"EXACT","Plantae","Asclepias syriaca",6,3170247,"Asclepias syriaca","Plantae"
